"Gene_ID","log2FC_24455","SE_24455","p_24455","padj_24455","log2FC_63183","SE_63183","p_63183","padj_63183"
56603,-2.25645923736291,0.592142409029275,0.000138590741423143,0.00152161546823297,-3.17986424780422,1.09419321022527,0.00365933089121425,0.0392365492040049
23129,1.43212949695809,0.375548575741233,0.000137049447600359,0.00150783747319396,3.12460710333537,0.781000623145314,6.31355951397314e-05,0.00146753042849759
6521,-5.78473500868458,0.525099580234316,3.18356932155403e-28,2.5700767864122e-25,-6.77503719546343,0.842955527326393,9.18834238702718e-16,2.19982042948841e-13
6296,-2.75117187353498,0.416305918365348,3.88144039313846e-11,2.35703044050585e-09,-3.24976787155105,0.906941514616713,0.000339388979572873,0.00588192338020866
3683,1.18122573672327,0.343608909790434,0.000586668539520416,0.00505582557207371,2.58166904978777,0.865480449814823,0.00285501719473197,0.032416824638559
54972,1.62038136415726,0.46618777646983,0.000509307974541688,0.00449212252095767,3.37671399105719,0.851734834076296,7.35458778682792e-05,0.00168152164692291
9058,-6.25135754784807,0.588404281651479,2.29838225194857e-26,1.3714346967714e-23,-9.94565142698295,0.846744122296262,7.42538263445307e-32,1.55552484463499e-28
7021,-4.8787580595782,0.425430872289143,1.9145520725499e-30,2.02117789566729e-27,-6.23800232130213,1.34146657935605,3.31715869586322e-06,0.000111184525167944
10157,-1.03384813743399,0.385039343288434,0.00725199433940945,0.0384717318569986,-2.88065043554053,0.984069196525671,0.00341936013188481,0.0373322843324153
10178,1.11327597506612,0.391868778077874,0.00449806704628125,0.0262687115502825,-3.52951718077613,1.13056171088487,0.00179679014279478,0.0228991680631921
389434,-3.65644369113294,0.448881314204861,3.77155311188367e-16,5.88190851221494e-14,-4.88101338992813,1.0016538384696,1.09941655987061e-06,4.27497033106067e-05
56920,-1.38842231874864,0.290215662865147,1.71750550703925e-06,3.58767817025977e-05,-3.23861976759861,0.931993962110686,0.000510974433181907,0.00820608532916602
2326,-2.44556142303148,0.557181363150979,1.13786258308938e-05,0.000180323626908991,-3.54565251491918,0.729339802146934,1.16526163068274e-06,4.48933785485336e-05
9066,-1.32789660082601,0.435206624194224,0.00227938901190488,0.0152003570453754,-6.21426990419891,1.60179663876201,0.000104644583361264,0.00223121955795346
7305,2.15226160145129,0.43772261762697,8.79015797090714e-07,1.97117856197271e-05,3.83336768577061,0.766129072187395,5.62830801170712e-07,2.34638840716915e-05
240,2.82208993846039,0.465235504792594,1.31185363613474e-09,5.96154943785206e-08,3.83367281830573,0.932427182523296,3.93099692247868e-05,0.000967394675827021
55,-2.34151834786823,0.350441558459031,2.36310449098599e-11,1.4674771961218e-09,-5.8691009060886,0.899601722714038,6.84063364675514e-11,7.07667773370181e-09
1800,-4.61541432359371,0.887180819284979,1.9679708289685e-07,5.36946951426713e-06,-7.32773012056854,0.788799592893725,1.54689640690251e-20,7.20123246757755e-18
55349,-2.20857787640976,0.365706867586253,1.5487765470679e-09,6.901106925961e-08,-4.20333834978159,0.778072809491641,6.58127291408252e-08,3.52381957722393e-06
11136,-2.27191311428898,0.434210546199048,1.67427785249942e-07,4.61401390516105e-06,-3.46737471097849,0.957987708384816,0.000295246400888253,0.00522255763673991
2273,1.65009307424246,0.397085253767602,3.24557988161483e-05,0.000448112055284527,3.71410384766999,0.795964656304783,3.06870632631876e-06,0.000105170653011812
57476,-1.5712622622925,0.328745702882175,1.75672726699987e-06,3.65847117030444e-05,-3.15816133938993,0.777089732430245,4.82205566734905e-05,0.00115612061415025
4719,-0.962398312465249,0.208641951291861,3.97512275640314e-06,7.39222015025429e-05,-3.25888140528244,0.731438032481602,8.37196345721724e-06,0.000253259450504519
330,2.67596139186493,0.773983839139085,0.000545441649084936,0.00475580761883206,2.70251736809797,0.834599801554264,0.00120328750504087,0.0165837954744901
30846,1.07188560116582,0.322784029323202,0.000897753809578123,0.00717575613433324,2.5041671568703,0.731061438386525,0.000613927934546118,0.00959777822300223
1890,1.69844029493375,0.379503732721355,7.62596518028416e-06,0.000129208328560765,2.91243174164618,0.740325476122844,8.35478610838882e-05,0.00186193963285224
7431,2.13720280588157,0.385924484341448,3.06157972885314e-08,1.03143377673259e-06,4.63525073516429,0.803638446451997,8.02982728794074e-09,5.34015379042059e-07
8635,1.54744433516926,0.465429663537351,0.000884930359669153,0.00710226307496905,4.8289829471067,0.733968873763955,4.72748198088933e-11,5.17829219070094e-09
960,1.05370954239002,0.375452773833491,0.00500823607279156,0.0286030095143535,2.83015941608306,0.752557646547447,0.000169424251368628,0.00332579272886648
9168,1.54458859036608,0.323188684917881,1.75979903901635e-06,3.65931545628188e-05,3.2700830386025,0.716695040668644,5.04937128808131e-06,0.000161493155375868
26228,-1.14218828321299,0.433556123356585,0.00842700768573663,0.0430414043465015,-4.28190836322445,1.27053278066306,0.000751224883089828,0.0112912805521995
9099,-3.51762046914048,0.788016376226015,8.04839190166515e-06,0.000135528994427549,-5.25627638270851,0.786200849277031,2.29876586914058e-11,2.65689773799497e-09
846,-4.10428950574192,0.609116498363831,1.6046816700277e-11,1.04372754689385e-09,-6.10884157372679,0.951695602687793,1.37260004138561e-10,1.35314141726949e-08
1462,1.41720446739137,0.422591554542082,0.000797666088421742,0.0065084241364447,5.07741556860487,0.990790873261029,2.98156236859164e-07,1.34322590686095e-05
4481,2.00898339580675,0.367829353426452,4.71525642344166e-08,1.46465662775242e-06,2.42824801581745,0.785335595528065,0.00198821075214935,0.0246635262733316
2042,1.60480090212151,0.40649397191371,7.88370077808313e-05,0.000950754916330517,3.60107069748478,1.15294202269739,0.00178789576785536,0.0228242724219411
1356,4.94377180546724,0.957253065868315,2.41030855258896e-07,6.39827361232706e-06,7.107775055219,1.01369750019774,2.35386009086701e-12,3.34307976803731e-10
55885,-2.70841519948203,0.45642301318153,2.95637727131373e-09,1.21114393049282e-07,-3.5045021763572,1.24214063303603,0.0047823352223229,0.0475368659495312
1298,-3.07619417936148,0.427381170451215,6.12023178622784e-13,5.34994019326057e-11,-3.1291767185595,0.910667340327961,0.000590074954472012,0.00929423511465832
5954,1.81251581320782,0.302615832601673,2.10494470984712e-09,9.02758162435682e-08,2.59095315865502,0.741008235099798,0.000471361899084016,0.00768439111551461
23327,-0.868527192994251,0.186957713763357,3.39120765973004e-06,6.4820242231386e-05,-3.00312577203066,0.952882875650734,0.00162366820419629,0.0211594521260697
5733,-2.24494414350978,0.369524713570792,1.23817405694352e-09,5.66423358583096e-08,-7.02668052547162,1.18342264706234,2.89239216129925e-09,2.06270639281762e-07
91522,4.35782120482312,0.567332006828273,1.57538856134384e-14,1.83225700134601e-12,4.97845798675047,0.815039394065722,1.00734435097725e-09,7.85213208280362e-08
6515,1.43049034533509,0.407834009707337,0.000452286014521213,0.00406494647235699,3.74379548357823,0.863459951633532,1.45226495044503e-05,0.000406319003414161
10076,1.44551809512741,0.36751848133334,8.3827748880265e-05,0.000996925498815213,2.23535679007885,0.749039528290157,0.00284230270873272,0.0322943397258656
1301,-1.85849949079805,0.420078226443335,9.68116259681241e-06,0.000158171756522207,5.78853516562237,1.4639629684863,7.68497917148234e-05,0.00174044008020098
11178,1.44048738080793,0.297286545661295,1.26324407112486e-06,2.7475058054069e-05,2.79863533175441,0.887321096002231,0.00161033790208289,0.0210348035081896
6676,3.51359824890896,0.329814410344211,1.68365885434171e-26,1.10031114842789e-23,5.198949730587,0.741155248784562,2.30514026609679e-12,3.30186715551419e-10
56848,-1.40860257207854,0.531421330676697,0.00803412422030488,0.0414356711008884,-2.45489509196259,0.768995436986089,0.00141124980200655,0.018996895929179
9914,-1.1217596782739,0.367928215970574,0.00229715539971024,0.0152965360046693,-3.97594189364221,1.12229562565307,0.000396072804835161,0.00666444190384786
10954,2.04147590145415,0.32323998818434,2.68999933071197e-10,1.40906682498821e-08,3.56184488723994,0.851087622373387,2.85102405093659e-05,0.000728358415695828
84217,-2.26787743209024,0.497184288058658,5.08034426555385e-06,9.14995337276391e-05,-3.44678546307281,0.935379649525245,0.000228787656797541,0.00421809938423542
348158,-2.93140207986181,0.453524000263425,1.02234429360583e-10,5.70351751440912e-09,-4.94290412274608,0.90114316451301,4.13122110188015e-08,2.33902481237869e-06
