"Gene_ID","Gene_Symbol","logFC_24455","SE_24455","p_24455","padj_24455","logFC_63183","SE_63183","p_63183","padj_63183","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue"
19,"ABCA1",1.3255117028786,0.349821905650278,0.00015119140278408,0.00162741240141861,1.75653169978934,0.750051082930359,0.0191867409762905,0.130140183572347,1.3255117028786,0.349821905650278,0.000151191402784086,0.00161147326777694,0.639873366800886,2.01115003895631,0,0,0,1
47,"ACLY",1.41042569139713,0.282184818506456,5.78578153328912e-07,1.37140009953126e-05,0.977225958390727,0.730856273550309,0.18119087468623,0.554068283214319,1.41042569139713,0.282184818506456,5.78578153328905e-07,1.35433493773153e-05,0.857353610140505,1.96349777265376,0,0,0,1
59,"ACTA2",1.3375977723627,0.446819806913331,0.00275711189349486,0.01772928844746,1.94197184891186,0.742666877659533,0.00892633539997561,0.075536577512421,1.3375977723627,0.446819806913331,0.00275711189349489,0.0175826624495442,0.46184704323343,2.21334850149197,0,0,0,1
60,"ACTB",0.92929236458797,0.293150622102107,0.00152430182135996,0.0110393235864613,1.45808912012778,0.710386556767373,0.0401182644848942,0.220079212603058,0.92929236458797,0.293150622102107,0.00152430182135993,0.0109378187639148,0.354727703222329,1.50385702595361,0,0,0,1
70,"ACTC1",1.22370932485547,0.415637809079705,0.00323819667173691,0.0201181580456846,-2.02119657874925,1.55286513593012,0.193055953143548,0.571482426057894,1.22370932485547,0.415637809079705,0.00323819667173703,0.0199545730004709,0.409074188446113,2.03834446126483,0,0,0,1
72,"ACTG2",2.00164215691286,0.424219879477335,2.37698288459225e-06,4.73464631467983e-05,3.62804131394746,0.840291501026663,1.5773603191891e-05,0.0004383910711325,2.00164215691286,0.424219879477335,2.37698288459227e-06,4.67866572743906e-05,1.17018647161136,2.83309784221436,0,0,0,1
87,"ACTN1",1.36289399902496,0.33945464332295,5.94579684446454e-05,0.00074793873412861,2.5595146435139,0.811318532089592,0.00160630595304894,0.0209985034845142,1.36289399902496,0.33945464332295,5.94579684446422e-05,0.000739549620423534,0.697575123727088,2.02821287432283,0,0,0,1
94,"ACVRL1",0.757402612765221,0.280645562927181,0.00695926904528727,0.0371485835774105,2.02685054787699,0.752273121874674,0.00705363421398566,0.0633504050333257,0.757402612765221,0.280645562927181,0.00695926904528719,0.036825676820097,0.207347417006977,1.30745780852347,0,0,0,1
98,"ACYP2",0.556899148194452,0.216771335136827,0.0101974009599858,0.0499283377719748,-0.242811388670132,0.830207896576759,0.769926847402556,0.946872332501807,0.556899148194452,0.216771335136827,0.0101974009599858,0.0495108236022644,0.132035138445609,0.981763157943295,0,0,0,1
102,"ADAM10",0.653342980098911,0.234926614752853,0.00541831652659515,0.0304883050475572,-0.109075914241966,0.731964423789868,0.88153938676647,0.974905541957191,0.653342980098911,0.234926614752853,0.00541831652659524,0.0302380636291737,0.192895276173403,1.11379068402442,0,0,0,1
109,"ADCY3",1.21800201573151,0.377483780056086,0.00125255547312998,0.00941921715793744,2.02087190615404,0.807911980882848,0.0123720289866881,0.0957261467164846,1.21800201573151,0.377483780056086,0.00125255547312999,0.00933565806755755,0.478147402073542,1.95785662938948,0,0,0,1
123,"PLIN2",1.94844346343512,0.335060601646497,6.05624574018281e-09,2.34790724684375e-07,1.51957456617695,0.731699206570567,0.0378223374027566,0.211515050925498,1.94844346343512,0.335060601646497,6.05624574018261e-09,2.31321136869355e-07,1.29173675156966,2.60515017530058,0,0,0,1
133,"ADM",2.48491191392563,0.432647938769925,9.27412919256547e-09,3.44927233167394e-07,2.3838832985766,0.735680158068627,0.00119370487924935,0.0164924155575761,2.48491191392563,0.432647938769925,9.27412919256552e-09,3.39790988867828e-07,1.63693753595109,3.33288629190017,0,0,0,1
141,"ADPRH",0.964029506042628,0.326914111075345,0.00318930872519681,0.0199317272061025,1.60275717689394,0.861468577118024,0.0628156570423453,0.299070339878598,0.964029506042628,0.326914111075345,0.00318930872519686,0.0197616955615024,0.323289622297025,1.60476938978823,0,0,0,1
182,"JAG1",1.04093367606882,0.270928152426742,0.00012198497304457,0.00137561361550024,0.763282394166009,0.739071071330498,0.301716635897026,0.710535413048163,1.04093367606882,0.270928152426742,0.00012198497304458,0.00136152598639079,0.509924254914428,1.57194309722321,0,0,0,1
196,"AHR",0.788583602636413,0.277049410708938,0.00442215470385283,0.0259251468342803,2.06088240605342,0.924460343467255,0.0257951761044399,0.161186188044112,0.788583602636413,0.277049410708938,0.00442215470385283,0.0257226099353418,0.245576735708849,1.33159046956398,0,0,0,1
