"Gene_ID","Gene_Symbol","logFC_24455","SE_24455","p_24455","padj_24455","logFC_63183","SE_63183","p_63183","padj_63183","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue"
9,"NAT1",-0.850367271810059,0.315683223039787,0.00706560985028006,0.0376284166027332,-1.69653920424418,1.17677378382058,0.149390755429909,0.499048919557113,-0.850367271810059,0.315683223039787,0.00706560985027999,0.0373005550553348,-1.46909501949157,-0.231639524128551,0,0,0,1
18,"ABAT",-3.27093780911653,0.381484216190642,9.97419146140676e-18,1.92796906501896e-15,-4.56932682904442,0.811696407528145,1.80885280336676e-08,1.13114045267252e-06,-3.27093780911653,0.381484216190642,9.97419146140599e-18,1.89411300667799e-15,-4.01863313352068,-2.52324248471238,0,0,0,1
20,"ABCA2",-1.04300925460298,0.331325825114808,0.00164399234686618,0.0117327878150762,0.211866648455225,0.844749760059201,0.801965621729508,0.954505637458014,-1.04300925460298,0.331325825114808,0.00164399234686611,0.0116295639101762,-1.69239593897602,-0.39362257022994,0,0,0,1
26,"AOC1",-1.55236781762419,0.580668603163406,0.00750834308340347,0.039510928096867,-0.684848217103608,0.710484507094091,0.335087453629422,0.730755456477082,-1.55236781762419,0.580668603163406,0.00750834308340339,0.0391624718737052,-2.69045736677765,-0.414278268470733,0,0,0,1
28,"ABO",-1.8956630921344,0.539103574597944,0.00043756587875906,0.00396356065681382,-2.48163392984549,0.941169800012661,0.00837033264235272,0.0719745534906051,-1.8956630921344,0.539103574597944,0.000437565878759052,0.0039276389180787,-2.95228668228317,-0.839039501985628,0,0,0,1
34,"ACADM",-1.34067759819749,0.241533766509883,2.84554135999377e-08,9.66638852092933e-07,-3.49347727878139,0.730178167062448,1.71483821423474e-06,6.28861567447704e-05,-1.34067759819749,0.241533766509883,2.8455413599936e-08,9.52020698679744e-07,-1.81407508160717,-0.867280114787813,0,0,0,1
36,"ACADSB",-2.19516254495522,0.324162580635997,1.27194280487939e-11,8.35222155701665e-10,-3.76923467200244,0.724527679659013,1.96801575374758e-07,9.31694237769936e-06,-2.19516254495522,0.324162580635997,1.27194280487939e-11,8.20555255415735e-10,-2.83050952813733,-1.5598155617731,0,0,0,1
38,"ACAT1",-1.87668785172968,0.249390384325083,5.26795520030829e-14,5.43589602774669e-12,-3.2294559644334,0.804311367304208,5.94001147511881e-05,0.00139815522909433,-1.87668785172968,0.249390384325083,5.26795520030765e-14,5.34043909516902e-12,-2.36548402309745,-1.38789168036191,0,0,0,1
39,"ACAT2",-0.824342524074203,0.268900031370106,0.00217226729102549,0.0146497279125474,-1.18294131906996,0.784009322352891,0.131340754090807,0.464964025730426,-0.824342524074203,0.268900031370106,0.0021722672910255,0.0145281150222702,-1.3513769010013,-0.297308147147105,0,0,0,1
48,"ACO1",-1.64161641890525,0.414181585260655,7.38531050879906e-05,0.00090094223486896,-2.83125949680315,0.735703002616246,0.00011890496208097,0.00247186489503842,-1.64161641890525,0.414181585260655,7.38531050879938e-05,0.000890663162702522,-2.45339740907584,-0.829835428734661,0,0,0,1
51,"ACOX1",-0.889554831553992,0.201555902042229,1.01741037818204e-05,0.00016524189384817,-1.67327764457953,0.756123628416743,0.0268998290274876,0.165862485162496,-0.889554831553992,0.201555902042229,1.01741037818201e-05,0.000163306477726524,-1.28459714042824,-0.49451252267974,0,0,0,1
55,"ACP3",-2.34151834786823,0.350441558459031,2.36310449098599e-11,1.4674771961218e-09,-5.8691009060886,0.899601722714038,6.84063364675514e-11,7.07667773370181e-09,-2.34151834786823,0.350441558459031,2.36310449098606e-11,1.44170759511154e-09,-3.02837118113402,-1.65466551460244,0,0,0,1
93,"ACVR2B",-1.27100746239292,0.317613114470945,6.28763986275199e-05,0.00078518261579989,-0.509774115687888,0.890109356622707,0.566841380382583,0.875793562226898,-1.27100746239292,0.317613114470945,6.28763986275176e-05,0.000776339269867051,-1.89351772777357,-0.64849719701227,0,0,0,1
95,"ACY1",-3.33375697517573,0.457786163558708,3.28065737539475e-13,3.02172763892064e-11,-4.36933934287776,0.710202883302026,7.63956374970663e-10,6.15535811929488e-08,-3.33375697517573,0.457786163558708,3.28065737539503e-13,2.96866465721149e-11,-4.23100136837156,-2.4365125819799,0,0,0,1
125,"ADH1B",-2.83544208248126,0.491545887893101,8.00191942473848e-09,3.02949718382858e-07,-3.70798116063273,0.805323924104523,4.1378585551688e-06,0.00013466678260042,-2.83544208248126,0.491545887893101,8.0019194247378e-09,2.98451958222783e-07,-3.7988543195005,-1.87202984546202,0,0,0,1
130,"ADH6",-2.43140225051764,0.519231803083776,2.83132735353707e-06,5.55101951427754e-05,-4.31201159596261,1.02460823176113,2.57129427479819e-05,0.00066295878078989,-2.43140225051764,0.519231803083776,2.83132735353719e-06,5.48488314766408e-05,-3.44907788418963,-1.41372661684565,0,0,0,1
132,"ADK",-1.11359075104671,0.247102674906812,6.58773643164486e-06,0.0001137233896703,-0.933340809293701,0.776234831604761,0.229210560923113,0.624506550237432,-1.11359075104671,0.247102674906812,6.58773643164525e-06,0.000112433481402371,-1.59790309434757,-0.629278407745849,0,0,0,1
153,"ADRB1",-2.4586252494163,0.55919689946882,1.09905248687554e-05,0.00017552324417236,-5.15579432284269,2.05073226969088,0.011932861700446,0.0934062724137197,-2.4586252494163,0.55919689946882,1.09905248687552e-05,0.000173652501183532,-3.55463103264165,-1.36261946619095,0,0,0,1
185,"AGTR1",-1.54686775937253,0.538683136188896,0.00408434891301865,0.0243817331371327,-3.00200594470032,1.01411421340025,0.00307414734514794,0.0343693364625313,-1.54686775937253,0.538683136188896,0.00408434891301873,0.0241850137875413,-2.60266730538185,-0.491068213363209,0,0,0,1
189,"AGXT",-5.19546316825274,0.611573575578747,1.97527491733475e-17,3.47547089301308e-15,-5.18657780268304,0.763126739276762,1.07204054135351e-11,1.38202518711873e-09,-5.19546316825274,0.611573575578747,1.97527491733481e-17,3.41443996287502e-15,-6.39412535028347,-3.99680098622201,0,0,0,1
191,"AHCY",-1.21739717346862,0.32689548535748,0.00019599968751659,0.00203471990278193,-0.681108477926144,0.722514854171408,0.345838817034613,0.735546108029652,-1.21739717346862,0.32689548535748,0.000195999687516595,0.00201422544724562,-1.85810055147802,-0.576693795459219,0,0,0,1
205,"AK4",-1.67006613033121,0.323206069661349,2.3764374995769e-07,6.32058686902971e-06,-2.76614767288954,0.768790463362425,0.00032061015487055,0.00562040333208745,-1.67006613033121,0.323206069661349,2.37643749957699e-07,6.24590775960946e-06,-2.3035383864522,-1.03659387421022,0,0,0,1
