"Gene_ID","Gene_Symbol","logFC_24455","p_24455","padj_24455","logFC_63183","p_63183","padj_63183","meta_log2FC","meta_pvalue","meta_padj"
18,"ABAT",-3.27093780911653,9.97419146140676e-18,1.92796906501896e-15,-4.56932682904442,1.80885280336676e-08,1.13114045267252e-06,-3.27093780911653,9.97419146140599e-18,1.89411300667799e-15
34,"ACADM",-1.34067759819749,2.84554135999377e-08,9.66638852092933e-07,-3.49347727878139,1.71483821423474e-06,6.28861567447704e-05,-1.34067759819749,2.8455413599936e-08,9.52020698679744e-07
36,"ACADSB",-2.19516254495522,1.27194280487939e-11,8.35222155701665e-10,-3.76923467200244,1.96801575374758e-07,9.31694237769936e-06,-2.19516254495522,1.27194280487939e-11,8.20555255415735e-10
38,"ACAT1",-1.87668785172968,5.26795520030829e-14,5.43589602774669e-12,-3.2294559644334,5.94001147511881e-05,0.00139815522909433,-1.87668785172968,5.26795520030765e-14,5.34043909516902e-12
48,"ACO1",-1.64161641890525,7.38531050879906e-05,0.00090094223486896,-2.83125949680315,0.00011890496208097,0.00247186489503842,-1.64161641890525,7.38531050879938e-05,0.000890663162702522
55,"ACP3",-2.34151834786823,2.36310449098599e-11,1.4674771961218e-09,-5.8691009060886,6.84063364675514e-11,7.07667773370181e-09,-2.34151834786823,2.36310449098606e-11,1.44170759511154e-09
72,"ACTG2",2.00164215691286,2.37698288459225e-06,4.73464631467983e-05,3.62804131394746,1.5773603191891e-05,0.0004383910711325,2.00164215691286,2.37698288459227e-06,4.67866572743906e-05
87,"ACTN1",1.36289399902496,5.94579684446454e-05,0.00074793873412861,2.5595146435139,0.00160630595304894,0.0209985034845142,1.36289399902496,5.94579684446422e-05,0.000739549620423534
95,"ACY1",-3.33375697517573,3.28065737539475e-13,3.02172763892064e-11,-4.36933934287776,7.63956374970663e-10,6.15535811929488e-08,-3.33375697517573,3.28065737539503e-13,2.96866465721149e-11
125,"ADH1B",-2.83544208248126,8.00191942473848e-09,3.02949718382858e-07,-3.70798116063273,4.1378585551688e-06,0.00013466678260042,-2.83544208248126,8.0019194247378e-09,2.98451958222783e-07
130,"ADH6",-2.43140225051764,2.83132735353707e-06,5.55101951427754e-05,-4.31201159596261,2.57129427479819e-05,0.00066295878078989,-2.43140225051764,2.83132735353719e-06,5.48488314766408e-05
133,"ADM",2.48491191392563,9.27412919256547e-09,3.44927233167394e-07,2.3838832985766,0.00119370487924935,0.0164924155575761,2.48491191392563,9.27412919256552e-09,3.39790988867828e-07
185,"AGTR1",-1.54686775937253,0.00408434891301865,0.0243817331371327,-3.00200594470032,0.00307414734514794,0.0343693364625313,-1.54686775937253,0.00408434891301873,0.0241850137875413
189,"AGXT",-5.19546316825274,1.97527491733475e-17,3.47547089301308e-15,-5.18657780268304,1.07204054135351e-11,1.38202518711873e-09,-5.19546316825274,1.97527491733481e-17,3.41443996287502e-15
