"Gene_ID","Gene_Symbol","logFC_24455","SE_24455","p_24455","padj_24455","logFC_63183","SE_63183","p_63183","padj_63183","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue"
9,"NAT1",-0.850367271810059,0.315683223039787,0.00706560985028006,0.0376284166027332,-1.69653920424418,1.17677378382058,0.149390755429909,0.499048919557113,-0.850367271810059,0.315683223039787,0.00706560985027999,0.0373005550553348,-1.46909501949157,-0.231639524128551,0,0,0,1
18,"ABAT",-3.27093780911653,0.381484216190642,9.97419146140676e-18,1.92796906501896e-15,-4.56932682904442,0.811696407528145,1.80885280336676e-08,1.13114045267252e-06,-3.27093780911653,0.381484216190642,9.97419146140599e-18,1.89411300667799e-15,-4.01863313352068,-2.52324248471238,0,0,0,1
19,"ABCA1",1.3255117028786,0.349821905650278,0.00015119140278408,0.00162741240141861,1.75653169978934,0.750051082930359,0.0191867409762905,0.130140183572347,1.3255117028786,0.349821905650278,0.000151191402784086,0.00161147326777694,0.639873366800886,2.01115003895631,0,0,0,1
20,"ABCA2",-1.04300925460298,0.331325825114808,0.00164399234686618,0.0117327878150762,0.211866648455225,0.844749760059201,0.801965621729508,0.954505637458014,-1.04300925460298,0.331325825114808,0.00164399234686611,0.0116295639101762,-1.69239593897602,-0.39362257022994,0,0,0,1
26,"AOC1",-1.55236781762419,0.580668603163406,0.00750834308340347,0.039510928096867,-0.684848217103608,0.710484507094091,0.335087453629422,0.730755456477082,-1.55236781762419,0.580668603163406,0.00750834308340339,0.0391624718737052,-2.69045736677765,-0.414278268470733,0,0,0,1
28,"ABO",-1.8956630921344,0.539103574597944,0.00043756587875906,0.00396356065681382,-2.48163392984549,0.941169800012661,0.00837033264235272,0.0719745534906051,-1.8956630921344,0.539103574597944,0.000437565878759052,0.0039276389180787,-2.95228668228317,-0.839039501985628,0,0,0,1
34,"ACADM",-1.34067759819749,0.241533766509883,2.84554135999377e-08,9.66638852092933e-07,-3.49347727878139,0.730178167062448,1.71483821423474e-06,6.28861567447704e-05,-1.34067759819749,0.241533766509883,2.8455413599936e-08,9.52020698679744e-07,-1.81407508160717,-0.867280114787813,0,0,0,1
36,"ACADSB",-2.19516254495522,0.324162580635997,1.27194280487939e-11,8.35222155701665e-10,-3.76923467200244,0.724527679659013,1.96801575374758e-07,9.31694237769936e-06,-2.19516254495522,0.324162580635997,1.27194280487939e-11,8.20555255415735e-10,-2.83050952813733,-1.5598155617731,0,0,0,1
38,"ACAT1",-1.87668785172968,0.249390384325083,5.26795520030829e-14,5.43589602774669e-12,-3.2294559644334,0.804311367304208,5.94001147511881e-05,0.00139815522909433,-1.87668785172968,0.249390384325083,5.26795520030765e-14,5.34043909516902e-12,-2.36548402309745,-1.38789168036191,0,0,0,1
39,"ACAT2",-0.824342524074203,0.268900031370106,0.00217226729102549,0.0146497279125474,-1.18294131906996,0.784009322352891,0.131340754090807,0.464964025730426,-0.824342524074203,0.268900031370106,0.0021722672910255,0.0145281150222702,-1.3513769010013,-0.297308147147105,0,0,0,1
47,"ACLY",1.41042569139713,0.282184818506456,5.78578153328912e-07,1.37140009953126e-05,0.977225958390727,0.730856273550309,0.18119087468623,0.554068283214319,1.41042569139713,0.282184818506456,5.78578153328905e-07,1.35433493773153e-05,0.857353610140505,1.96349777265376,0,0,0,1
48,"ACO1",-1.64161641890525,0.414181585260655,7.38531050879906e-05,0.00090094223486896,-2.83125949680315,0.735703002616246,0.00011890496208097,0.00247186489503842,-1.64161641890525,0.414181585260655,7.38531050879938e-05,0.000890663162702522,-2.45339740907584,-0.829835428734661,0,0,0,1
51,"ACOX1",-0.889554831553992,0.201555902042229,1.01741037818204e-05,0.00016524189384817,-1.67327764457953,0.756123628416743,0.0268998290274876,0.165862485162496,-0.889554831553992,0.201555902042229,1.01741037818201e-05,0.000163306477726524,-1.28459714042824,-0.49451252267974,0,0,0,1
55,"ACP3",-2.34151834786823,0.350441558459031,2.36310449098599e-11,1.4674771961218e-09,-5.8691009060886,0.899601722714038,6.84063364675514e-11,7.07667773370181e-09,-2.34151834786823,0.350441558459031,2.36310449098606e-11,1.44170759511154e-09,-3.02837118113402,-1.65466551460244,0,0,0,1
59,"ACTA2",1.3375977723627,0.446819806913331,0.00275711189349486,0.01772928844746,1.94197184891186,0.742666877659533,0.00892633539997561,0.075536577512421,1.3375977723627,0.446819806913331,0.00275711189349489,0.0175826624495442,0.46184704323343,2.21334850149197,0,0,0,1
60,"ACTB",0.92929236458797,0.293150622102107,0.00152430182135996,0.0110393235864613,1.45808912012778,0.710386556767373,0.0401182644848942,0.220079212603058,0.92929236458797,0.293150622102107,0.00152430182135993,0.0109378187639148,0.354727703222329,1.50385702595361,0,0,0,1
70,"ACTC1",1.22370932485547,0.415637809079705,0.00323819667173691,0.0201181580456846,-2.02119657874925,1.55286513593012,0.193055953143548,0.571482426057894,1.22370932485547,0.415637809079705,0.00323819667173703,0.0199545730004709,0.409074188446113,2.03834446126483,0,0,0,1
72,"ACTG2",2.00164215691286,0.424219879477335,2.37698288459225e-06,4.73464631467983e-05,3.62804131394746,0.840291501026663,1.5773603191891e-05,0.0004383910711325,2.00164215691286,0.424219879477335,2.37698288459227e-06,4.67866572743906e-05,1.17018647161136,2.83309784221436,0,0,0,1
87,"ACTN1",1.36289399902496,0.33945464332295,5.94579684446454e-05,0.00074793873412861,2.5595146435139,0.811318532089592,0.00160630595304894,0.0209985034845142,1.36289399902496,0.33945464332295,5.94579684446422e-05,0.000739549620423534,0.697575123727088,2.02821287432283,0,0,0,1
93,"ACVR2B",-1.27100746239292,0.317613114470945,6.28763986275199e-05,0.00078518261579989,-0.509774115687888,0.890109356622707,0.566841380382583,0.875793562226898,-1.27100746239292,0.317613114470945,6.28763986275176e-05,0.000776339269867051,-1.89351772777357,-0.64849719701227,0,0,0,1
94,"ACVRL1",0.757402612765221,0.280645562927181,0.00695926904528727,0.0371485835774105,2.02685054787699,0.752273121874674,0.00705363421398566,0.0633504050333257,0.757402612765221,0.280645562927181,0.00695926904528719,0.036825676820097,0.207347417006977,1.30745780852347,0,0,0,1
95,"ACY1",-3.33375697517573,0.457786163558708,3.28065737539475e-13,3.02172763892064e-11,-4.36933934287776,0.710202883302026,7.63956374970663e-10,6.15535811929488e-08,-3.33375697517573,0.457786163558708,3.28065737539503e-13,2.96866465721149e-11,-4.23100136837156,-2.4365125819799,0,0,0,1
