"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-2142753","Arachidonate metabolism","19/1429","40/8123",0.475,2.70008747375787,4.97988973528578,1.24850045581861e-05,0.0016809356136976,0.0016809356136976,"EPHX2/TBXAS1/HPGD/CYP4A22/PTGS2/ALOX5/DPEP1/PON3/CYP4F3/CYP8B1/ALOX5AP/PTGR1/CYP4F2/GGT1/DPEP2/PTGDS/PTGS1/CBR1/CYP4A11",19
"R-HSA-2142691","Synthesis of Leukotrienes (LT) and Eoxins (EX)","10/1429","14/8123",0.714285714285714,4.06028191542537,5.29476337930388,1.38740332761847e-05,0.00171228694016913,0.00171228694016913,"CYP4A22/ALOX5/DPEP1/CYP4F3/ALOX5AP/PTGR1/CYP4F2/GGT1/DPEP2/CYP4A11",10
"R-HSA-190861","Gap junction assembly","11/1429","17/8123",0.647058823529412,3.67813773515004,5.10691727243912,2.10745591743832e-05,0.00222938729551868,0.00222938729551868,"GJA1/TUBAL3/TUBA1A/GJC1/TUBB6/GJB1/GJA4/TUBA1B/TUBB2A/GJA3/TUBB2B",11
"R-HSA-389661","Glyoxylate metabolism and glycine degradation","11/1429","17/8123",0.647058823529412,3.67813773515004,5.10691727243912,2.10745591743832e-05,0.00222938729551868,0.00222938729551868,"DLD/PRODH2/GLDC/DLST/ALDH4A1/HOGA1/DAO/AGXT/PXMP2/AGXT2/GRHPR",11
"R-HSA-211897","Cytochrome P450 - arranged by substrate type","16/1429","35/8123",0.457142857142857,2.59858042587224,4.37877565367563,0.000108238373691161,0.0106867354291073,0.0106867354291073,"TBXAS1/CYP4A22/CYP26B1/FDX1/CYP4F3/CYP8B1/CYP24A1/FDXR/CYP4F2/CYP4F12/CYP51A1/CYP27A1/CYP27B1/CYP4A11/CYP39A1/ARNT2",16
"R-HSA-9958863","SLC-mediated transport of amino acids","13/1429","26/8123",0.5,2.84219734079776,4.34675846322874,0.000156389292763248,0.0144757839113982,0.0144757839113982,"SLC43A2/SLC3A1/SLC7A1/SLC43A1/SLC6A19/SLC25A29/SLC7A5/SLC38A1/SLC1A3/SLC1A4/SLC36A2/SLC7A9/SLC1A1",13
"R-HSA-5579029","Metabolic disorders of biological oxidation enzymes","12/1429","23/8123",0.521739130434783,2.96577113822375,4.36173339027829,0.000167196465454745,0.0145657626669692,0.0145657626669692,"TBXAS1/MAOA/CYP26B1/AHCY/FDX1/CYP24A1/FDXR/TPMT/GGT1/CYP27A1/ACY1/CYP27B1",12
"R-HSA-9830369","Kidney development","15/1429","33/8123",0.454545454545455,2.5838157643616,4.21203647560426,0.000191988564390763,0.0157963924368178,0.0157963924368178,"ROBO2/LHX1/ITGB1/SLIT2/MECOM/SALL1/EMX2/GATA3/IRX2/HNF4A/WT1/SIX1/PAX8/FOXC1/JAG1",15
"R-HSA-8866910","TFAP2 (AP-2) family regulates transcription of growth factors and their receptors","7/1429","10/8123",0.7,3.97907627711686,4.35507499610175,0.000375801280949978,0.0292927208993115,0.0292927208993115,"ERBB2/ATAD2/TGFA/VEGFA/EGFR/TFAP2A/TFAP2B",7
"R-HSA-8956319","Nucleotide catabolism","12/1429","25/8123",0.48,2.72850944716585,3.99905731555355,0.000454763474646335,0.0336752352975611,0.0336752352975611,"NT5C2/ENTPD5/DPYS/GDA/ENTPD1/UPP1/UPB1/PNP/NUDT9/AGXT2/TYMP/NT5C3A",12
"R-HSA-9748784","Drug ADME","24/1429","71/8123",0.338028169014085,1.92148552617313,3.60305226827177,0.000710071032965936,0.0478304280641019,0.0478304280641019,"NT5C2/PCK1/GLYAT/SLC22A8/SERPINA6/GSTA2/SULT1C4/PON3/ACSM2B/SLC29A2/HSD11B2/NAT1/TPMT/GGT1/SLC22A2/UGT1A9/ABCB1/PNP/SLC22A3/ADK/ALB/ACY1/GLYATL1/SLCO2B1",24
"R-HSA-9955298","SLC-mediated transport of organic anions","12/1429","26/8123",0.461538461538462,2.62356677612101,3.83088850929775,0.000710512773403269,0.0478304280641019,0.0478304280641019,"SLC22A12/SLC22A8/SLC22A6/SLC13A3/EMB/SLC5A12/SLC22A11/SLC13A2/SLC16A7/SLC16A3/SLC25A10/SLCO2B1",12
