"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0015670","carbon dioxide transport",6,-0.903793639982273,-1.58493233150589,0.0126159300740417,0.125550578276807,0.0843096668892617,571,"tags=50%, list=4%, signal=48%","51458/57127/358",0.380730400722792
"GO:0070293","renal absorption",26,-0.676678966930323,-1.58468700661528,0.040807094868263,0.242286973369343,0.162700437518815,822,"tags=27%, list=6%, signal=25%","149461/10686/81693/6565/1188/6559/65266",0.321775918075361
"GO:0061005","cell differentiation involved in kidney development",36,-0.654033230772054,-1.58446196815085,0.0309592297673911,0.204930577221537,0.137614887466939,694,"tags=22%, list=5%, signal=21%","7849/3975/28999/5800/7490/2625/6943/7827",0.352487857583619
"GO:0002443","leukocyte mediated immunity",236,0.44573034789256,1.58430864305384,0.000230812831828583,0.00976055989560007,0.00655440671596448,1799,"tags=32%, list=13%, signal=28%","2214/121260/11314/567/3133/3134/6688/11118/925/939/3689/5551/64581/8832/5788/7462/912/3561/3071/182/54209/10384/441168/714/3140/5272/7305/867/9846/56253/3635/718/713/914/203068/409/51135/4067/2212/6810/23180/57823/5130/712/51571/10865/29126/7454/2956/2209/3606/64170/57102/7409/2242/2013/11151/5880/2213/5817/4683/114548/11006/114836/958/10870/7037/1524/7040/1439/7186/7532/196/1235/2207/84787",0.518848077743792
"GO:0000075","cell cycle checkpoint signaling",155,0.462512448348222,1.584181350599,0.00151522133073049,0.0359131894436847,0.0241164085461432,2666,"tags=32%, list=20%, signal=26%","1026/9735/83540/51360/81620/151636/675/595/5984/440275/83666/1017/5982/699/4067/5985/9319/8317/1780/891/55743/83695/990/197342/7517/3014/4683/51720/10111/8454/8914/8525/55755/5983/51065/1843/9344/6118/51776/29980/580/3364/51149/1063/4361/545/10459/10116/1111",0.45505986738723
"GO:0051983","regulation of chromosome segregation",112,0.484186982054533,1.58387929790803,0.00595833306128798,0.0871220938662954,0.058504188617658,2609,"tags=30%, list=19%, signal=25%","10783/10460/9735/83540/10051/60/1459/57520/699/56852/9319/1780/891/55743/6602/22933/990/6604/7517/5925/26271/1457/29781/55755/196528/54892/1843/51776/6598/1063/29945/55920/5359/10459",0.407017918923954
"GO:0000077","DNA damage checkpoint signaling",92,0.494267486147786,1.5837144238992,0.00745450029541667,0.099690956021803,0.0669444251824914,3131,"tags=38%, list=23%, signal=29%","1026/51360/151636/675/595/440275/83666/1017/4067/8317/83695/197342/3014/4683/51720/8454/8914/8525/51065/9344/6118/51776/29980/580/3364/51149/4361/545/10116/1111/60561/80279/9894/9675/7158",0.407017918923954
"GO:0006067","ethanol metabolic process",8,-0.857700420197882,-1.5820532228572,0.0230202149308323,0.1761530606861,0.118290222727811,1069,"tags=62%, list=8%, signal=58%","27233/27284/55902/219/217",0.352487857583619
"GO:0006068","ethanol catabolic process",8,-0.857700420197882,-1.5820532228572,0.0230202149308323,0.1761530606861,0.118290222727811,1069,"tags=62%, list=8%, signal=58%","27233/27284/55902/219/217",0.352487857583619
"GO:0042116","macrophage activation",71,0.521162327494384,1.58194919532329,0.00801132313420643,0.101358635035404,0.0680643042307974,1500,"tags=30%, list=11%, signal=26%","2214/3689/4345/8291/27347/9111/5788/54209/23208/7099/7305/1050/64784/9572/3566/712/728/2896/22918/2213/3460",0.380730400722792
"GO:0043393","regulation of protein binding",32,0.602477396406046,1.58127401109472,0.0365407993125721,0.224437636739079,0.150714259150333,1091,"tags=19%, list=8%, signal=17%","6790/581/9034/151636/6737/5919",0.321775918075361
"GO:0042182","ketone catabolic process",12,-0.797963525193516,-1.58125549847711,0.0251248097546219,0.184085169690007,0.123616788937441,1129,"tags=50%, list=8%, signal=46%","8529/4835/66002/25953/3029/4051",0.352487857583619
"GO:2000727","positive regulation of cardiac muscle cell differentiation",6,0.858971000927916,1.58041817050686,0.0106951887887461,0.115466813498468,0.0775382217782958,1724,"tags=67%, list=13%, signal=58%","4208/1948/409/7040",0.380730400722792
"GO:0002369","T cell cytokine production",29,0.615172534089508,1.5800406738963,0.0227261620362297,0.175995729238844,0.118184571586324,2811,"tags=41%, list=21%, signal=33%","567/3134/10865/3606/114548/11006/7186/3077/7133/975/6398/729230",0.352487857583619
"GO:0002724","regulation of T cell cytokine production",29,0.615172534089508,1.5800406738963,0.0227261620362297,0.175995729238844,0.118184571586324,2811,"tags=41%, list=21%, signal=33%","567/3134/10865/3606/114548/11006/7186/3077/7133/975/6398/729230",0.352487857583619
"GO:0048662","negative regulation of smooth muscle cell proliferation",38,0.574614477044855,1.57982298882629,0.0126234079213326,0.125550578276807,0.0843096668892617,872,"tags=24%, list=6%, signal=22%","4208/1026/8490/8862/3486/7043/7128/3162/7168",0.380730400722792
"GO:0006637","acyl-CoA metabolic process",92,-0.571552671854053,-1.57936913002412,0.00999624226621437,0.112133419925206,0.0752997828508948,2224,"tags=45%, list=16%, signal=37%","1737/51144/51268/3157/3156/2182/10157/109703458/3158/2181/2180/10965/123876/23305/80221/122970/9524/23205/1738/5095/84693/84869/1743/4594/641371/55902/8802/8801/38/5164/348158/2639/5160/11001/5162/501/84649/594/8803/10249/6296",0.380730400722792
"GO:1903038","negative regulation of leukocyte cell-cell adhesion",97,0.48301421920844,1.5786764464496,0.00313404948582604,0.0582972875876121,0.039147767891779,1904,"tags=33%, list=14%, signal=29%","10457/11314/5699/3133/3958/5696/55824/301/864/865/1029/7805/26191/867/56253/1445/84695/10385/5698/942/5683/29126/3956/9231/64115/11006/5682/3659/861/3077/79626/23240",0.431707695803346
"GO:0032717","negative regulation of interleukin-8 production",13,0.715814180482153,1.5785947560248,0.027560874612232,0.193320788747852,0.129818687622179,557,"tags=23%, list=4%, signal=22%","307/301/26191",0.352487857583619
"GO:0061042","vascular wound healing",17,0.684354534451644,1.57735539693762,0.0475552569214877,0.262223077096158,0.176087920773347,896,"tags=41%, list=7%, signal=38%","7422/240/4162/10855/7128/947/7423",0.321775918075361
"GO:0033572","transferrin transport",9,0.791374832991392,1.57723462029774,0.0165183258885074,0.147113211473707,0.0987893964694623,1875,"tags=56%, list=14%, signal=48%","567/392/7037/3077/57192",0.352487857583619
"GO:0007520","myoblast fusion",67,0.532932764838751,1.57719665166665,0.00319395035045277,0.0591707950596865,0.0397343452298259,3792,"tags=69%, list=28%, signal=50%","6157/6175/6137/6139/6132/6143/6171/1794/3688/928/963/6173/30846/6181/6168/6164/5738/11224/6134/25873/6158/23521/6141/975/11096/80005/6124/6142/6167/6169/6133/9349/6155/6129/51177/6147/6160/6170/6130/8038/9750/4736/6161/6135/6176/6156",0.431707695803346
"GO:0072010","glomerular epithelium development",19,-0.715071738662917,-1.57695361353995,0.0448833034111311,0.256638188181545,0.172337558724305,282,"tags=26%, list=2%, signal=26%","28999/5800/7490/2296/7827",0.287857117255149
"GO:0010819","regulation of T cell chemotaxis",10,0.762890293507238,1.5763664663468,0.0262611400696164,0.188707801135948,0.12672097629132,1089,"tags=40%, list=8%, signal=37%","3627/6352/27347/102",0.352487857583619
"GO:0062208","positive regulation of pattern recognition receptor signaling pathway",66,0.525544523240626,1.57583635160356,0.00715863753917645,0.0975062527731133,0.0654773542563599,947,"tags=17%, list=7%, signal=16%","2634/121260/4481/1956/948/5027/115362/7099/26191/4067/2664",0.407017918923954
"GO:0002717","positive regulation of natural killer cell mediated immunity",14,0.705232432370711,1.57537705569107,0.0297491897111437,0.200534102204246,0.134662568574567,1552,"tags=36%, list=12%, signal=32%","3133/3134/56253/5817/114836",0.352487857583619
"GO:0031571","mitotic G1 DNA damage checkpoint signaling",14,0.705187315136757,1.5752762709683,0.0297491897111437,0.200534102204246,0.134662568574567,2220,"tags=43%, list=16%, signal=36%","1026/595/1017/8525/51065/6118",0.352487857583619
"GO:0019320","hexose catabolic process",36,0.574496733438317,1.57519530227275,0.0228887648933909,0.176099685920617,0.118254380529711,373,"tags=22%, list=3%, signal=22%","3099/2026/5230/5214/226/7167/5315/2023",0.352487857583619
"GO:0001913","T cell mediated cytotoxicity",23,0.654111914621705,1.57490818107395,0.0281122440399565,0.19395420590354,0.1302440396208,1403,"tags=48%, list=10%, signal=43%","3133/3134/5551/5788/912/3071/3140/51571/2013/2213/5817",0.352487857583619
"GO:2001212","regulation of vasculogenesis",18,0.6883671454962,1.57417075219613,0.0161776126163481,0.145178636578464,0.0974902916208119,1307,"tags=44%, list=10%, signal=40%","133/23462/9844/23493/947/54453/2013/6237",0.352487857583619
"GO:0097306","cellular response to alcohol",66,-0.589159544254167,-1.5739640455177,0.0220006056370697,0.173849126277873,0.116743085747971,1013,"tags=18%, list=8%, signal=17%","5587/151556/56848/2770/9131/7832/6340/3728/6337/6422/2203/6338",0.352487857583619
"GO:0008637","apoptotic mitochondrial changes",80,0.502415733640671,1.57379603054989,0.00695523758465876,0.0962288263506807,0.0646195374495476,350,"tags=8%, list=3%, signal=7%","3099/8996/3003/834/27113/581",0.407017918923954
"GO:0030220","platelet formation",11,0.749807781709727,1.57321595954414,0.0300137721933972,0.201393781909576,0.135239860297016,1814,"tags=36%, list=13%, signal=31%","4208/87/4627/836",0.352487857583619
