"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_MYC_TARGETS_V1","A subgroup of genes regulated by MYC - version 1 (v1).",196,0.476065194702355,1.69602680691164,5.91755382931815e-05,0.000295877691465908,0.000112122072555502,2748,"tags=32%, list=20%, signal=26%","5230/6175/4174/4869/6150/821/5901/8662/4175/3939/7298/5984/6742/4171/1017/11335/1176/6188/890/4176/10921/6626/7458/5713/5683/54107/7416/51491/55651/6193/11260/4673/5036/6187/8454/6164/5682/5111/6240/10728/10549/51690/3838/6427/5902/3181/22916/11137/6627/5688/11331/4609/6141/5478/3015/10236/4830/23450/1933/5425/6204/6723/3475",0.557332238758646
"HALLMARK_P53_PATHWAY","Genes involved in p53 pathways and networks.",182,0.481480791526325,1.68772542295675,8.4975326411764e-05,0.000386251483689836,0.000146368983292991,1724,"tags=28%, list=13%, signal=25%","1030/64782/1012/6281/3714/1643/5912/7039/23612/355/1026/5820/7378/834/79651/6890/55332/6236/581/10437/3275/1029/50619/1050/5791/57761/3625/2232/1509/55240/5154/3162/6667/26471/2760/64393/8744/29927/81566/4193/5429/55766/10906/5925/8841/54541/64065/10769/5111/3654/7040",0.538434096309916
"HALLMARK_FATTY_ACID_METABOLISM","Genes encoding proteins involved in metabolism of fatty acids.",144,-0.575015869290531,-1.67498336004871,0.0013596833064077,0.00339920826601925,0.00128812102712308,1854,"tags=43%, list=14%, signal=38%","10808/8876/3158/3320/760/30/364/34/2180/51109/10965/51170/224/6391/658/57515/549/3422/1384/3417/1738/2110/873/2271/84693/4190/23710/4128/762/39/1743/1579/4953/8802/84263/8801/223/2639/210/670/284541/1429/9380/5160/5465/2052/6392/51/5162/1962/3248/10455/2326/594/8803/2819/1056/51179/2168/26275/6296/1892",0.45505986738723
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","Genes up-regulated by activation of the PI3K/AKT/mTOR pathway.",98,0.497995500587286,1.6117123939246,0.00333561222873539,0.00725133093203345,0.00274787277424426,1866,"tags=24%, list=14%, signal=21%","6513/7852/5163/1956/1026/4690/5601/3561/356/57761/1017/10392/10094/51135/23236/4803/6773/5571/7186/396/811/1072/7132/4615",0.431707695803346
"HALLMARK_APICAL_SURFACE","Genes encoding proteins over-represented on the apical surface of epithelial cells, e.g., important for cell polarity (apical area).",36,-0.67248236636963,-1.60553254656724,0.0217096903162012,0.0374305005451745,0.0141841896802767,813,"tags=19%, list=6%, signal=18%","4118/51458/116085/50617/2619/2947/2625",0.352487857583619
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",186,0.449261870796551,1.57846435136823,0.000510257193112108,0.00150075645032973,0.000568707707493371,3192,"tags=48%, list=24%, signal=37%","7422/7424/2026/8985/355/2014/3915/11010/10085/59/3486/2697/2882/813/7128/50509/7456/79709/11167/4015/4176/22795/115908/1282/7168/4837/6535/1004/4017/3688/7431/800/3956/4487/3909/1809/1292/5351/649/1284/5768/2335/5817/5376/7052/2669/5352/7076/960/7040/5744/3600/5999/7058/7412/9235/50863/30008/2200/56937/1296/1462/7045/6678/1290/51330/2199/3678/1277/4323/822/1281/3624/5118/633/4035/10486/6641/871/1293/4312/6586/5021/7169/5159/1289/2316/5654/1893/10272",0.477270815362862
"HALLMARK_GLYCOLYSIS","Genes encoding proteins involved in glycolysis and gluconeogenesis.",178,0.446180471880457,1.56284061568205,0.00102637153866544,0.00285103205184845,0.00108039109333204,642,"tags=17%, list=5%, signal=17%","3099/8996/7422/7852/2026/8614/5230/8819/5214/226/9514/5836/7167/112399/8497/5315/6676/7039/1956/7436/30001/4233/6790/5066/3486/2023/9123/3939/51129/3669/3796",0.45505986738723
"HALLMARK_MYC_TARGETS_V2","A subgroup of genes regulated by MYC - version 2 (v2).",55,0.521183733763268,1.5453935037289,0.0142312781826077,0.027367842658861,0.0103709719549368,1984,"tags=24%, list=15%, signal=20%","3099/4174/4869/10733/11335/23481/80324/51491/5036/6949/79077/56915/4839",0.380730400722792
"HALLMARK_MITOTIC_SPINDLE","Genes important for mitotic spindle assembly.",188,0.430631977507804,1.52169543085887,0.00282411917630062,0.0064184526734105,0.00243225574992398,2553,"tags=27%, list=19%, signal=22%","51203/24137/55704/9735/57580/4001/4690/6790/675/10051/51735/1894/4281/22974/11190/699/9732/10163/1794/7204/10801/2037/11214/4627/26271/8936/7153/396/4082/6624/393/9181/4650/2934/55755/55785/11346/5921/9585/9344/7461/55722/998/4296/11135/1063/134549/64411/1453/8409",0.431707695803346
"HALLMARK_KRAS_SIGNALING_UP","Genes up-regulated by KRAS activation.",170,0.427535495997621,1.50334917497618,0.00551713350546496,0.0114940281363853,0.00435563171484076,1083,"tags=22%, list=8%, signal=21%","7852/10457/1520/3627/5696/639/7851/10205/3936/330/30001/3689/2791/7462/6324/3561/83483/50856/3486/1363/7128/7805/23080/51129/867/64123/55107/9935/9358/3394/5175/2113/23643/2982/1794/2995/25960/2119",0.407017918923954
"HALLMARK_HEME_METABOLISM","Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.",163,-0.49388566448678,-1.47386883624032,0.015099635098626,0.0279622872196778,0.0105962351569305,2133,"tags=29%, list=16%, signal=25%","6622/26130/9663/55030/23530/80344/5606/4005/760/23112/54/51312/55544/5909/7779/54165/23305/3068/6583/10840/8031/6710/360/3321/10171/2057/2235/7029/9258/847/64122/51218/3005/63891/1497/210/7832/4329/5091/10841/3029/10158/11163/129642/4059/8991/6521",0.380730400722792
"HALLMARK_COMPLEMENT","Genes encoding components of the complement system, which is part of the innate immune system.",163,0.414266348364745,1.43956738138947,0.00995524713000652,0.019910494260013,0.00754502940379442,1892,"tags=32%, list=14%, signal=28%","3988/1012/341/1520/3958/1356/3003/3937/6352/834/948/8445/55619/714/7128/10019/2771/59345/200316/1509/718/3796/6935/7511/4067/391/9732/5698/6810/712/3001/7454/4199/308/2153/23348/5341/1284/2335/3075/6280/3665/3659/7076/978/2207/2157/836/80124/54331/4048/837",0.380730400722792
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","Genes up-regulated by activation of WNT signaling through accumulation of beta catenin CTNNB1 [GeneID=1499].",36,0.531821545922379,1.43024708066776,0.0360023544318331,0.0580683135997308,0.0220048346272664,2324,"tags=42%, list=17%, signal=35%","3714/23462/182/6932/23493/8312/1454/3516/8321/8454/6502/9612/894/51176/4609",0.321775918075361
"HALLMARK_MYOGENESIS","Genes involved in development of skeletal muscle (myogenesis).",151,0.398833132090618,1.36557805903264,0.0213468733572788,0.0374305005451745,0.0141841896802767,1444,"tags=18%, list=11%, signal=16%","5507/1012/4208/8614/8497/11156/1026/7004/6319/948/3486/10580/4046/26353/3316/6535/1756/8082/3688/22933/2273/1292/4641/1284/8553/5925/4627",0.352487857583619
"HALLMARK_APOPTOSIS","Genes mediating programmed cell death (apoptosis) by activation of caspases.",148,0.390822592601159,1.30849702080831,0.0264222376949741,0.0440370628249569,0.01668772907051,2323,"tags=26%, list=17%, signal=22%","857/2026/3958/355/1026/330/5551/834/301/6890/581/595/3669/356/2232/1017/3162/914/8682/5330/3606/952/3659/7076/960/7153/836/5611/837/2934/994/10410/5538/9890/3459/894/4000/637/51176",0.352487857583619
"HALLMARK_APICAL_JUNCTION","Genes encoding components of apical junction complex.",164,0.368057087879303,1.26913354918331,0.0441046390572949,0.0689134985270233,0.0261145889155036,2570,"tags=36%, list=19%, signal=29%","140885/7450/7533/1956/10205/2533/5788/80381/60/2771/72/87/5175/9019/6810/942/947/1004/3688/29126/3909/5310/8515/10487/51466/649/6237/5880/2037/7791/6464/4627/9672/7408/4478/7781/6376/6624/143903/7412/10109/2200/51474/5216/5921/3914/7106/3384/9344/4267/1462/51776/9459/7045/4192/1364/3383/5603/11096",0.321775918075361
