Gene_ID,Gene_Symbol,Gene_Description,Gene_Biotype,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7105,TSPAN6,tetraspanin 6,protein_coding,2037.63328578824,0.121375959703198,0.737565705861218,0.164562911125963,0.869288025769504,0.973003516343694
64102,TNMD,tenomodulin,protein_coding,13.9077771544631,-1.70895180300249,2.37881900821456,-0.718403458649491,0.472508554872293,0.825788762285773
8813,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",protein_coding,506.64250737787,0.18076776206908,0.842891629329402,0.214461451245989,0.830187225040844,0.961287168349052
57147,SCYL3,SCY1 like pseudokinase 3,protein_coding,271.099933927113,-1.1078389544812,0.848767823197695,-1.30523203660981,0.191813848416341,0.569562063360994
55732,FIRRM,FIGNL1 interacting regulator of recombination and mitosis,protein_coding,67.6384164420786,0.304100146352721,1.16418636108948,0.261212600075588,0.793928561893074,0.951567391827153
2268,FGR,"FGR proto-oncogene, Src family tyrosine kinase",protein_coding,254.816875680065,0.805738827446362,0.890346429695217,0.904972267617427,0.365480079285078,0.74951142375889
3075,CFH,complement factor H,protein_coding,1728.66196016712,1.85237004249515,0.868537603802062,2.13274593337849,0.0329455736500304,0.192046910887255
2519,FUCA2,alpha-L-fucosidase 2,protein_coding,2152.44272292794,-0.474719974536201,0.734551150724856,-0.64627218141003,0.518103100463183,0.851453204711674
2729,GCLC,glutamate-cysteine ligase catalytic subunit,protein_coding,782.775647029876,-1.49224570209694,0.848190575715069,-1.75932832174998,0.0785217587836556,0.344578726225526
4800,NFYA,nuclear transcription factor Y subunit alpha,protein_coding,340.050013862215,-0.199114161999091,0.842499449989555,-0.236337438560416,0.813170837864344,0.956987155094015
90529,STPG1,sperm tail PG-rich repeat containing 1,protein_coding,273.381821096243,-0.31451397538635,0.864422407777318,-0.36384292280791,0.715975308422456,0.931266026649693
57185,NIPAL3,NIPA like domain containing 3,protein_coding,647.286916733053,0.0309732370989696,0.780176924136992,0.0397002732851029,0.968332083800125,0.994189494783636
81887,LAS1L,LAS1 like ribosome biogenesis factor,protein_coding,1426.74747413901,0.0637963302382224,0.74337560069351,0.0858197796359008,0.931609682610702,0.987476751768616
22875,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4,protein_coding,536.517583377517,-1.25912712900477,0.78064095876346,-1.61294012935119,0.106757515714228,0.413007665248095
6405,SEMA3F,semaphorin 3F,protein_coding,732.878738688532,1.19183838811719,0.771016573036681,1.54580125745298,0.122152573270245,0.44629495867365
1080,CFTR,CF transmembrane conductance regulator,protein_coding,98.7403801083279,-2.8087821734015,1.30323818274339,-2.15523318039136,0.0311435916597777,0.184364342149846
54467,ANKIB1,ankyrin repeat and IBR domain containing 1,protein_coding,699.267041578983,-1.01243583641936,0.773543778964389,-1.30882810249575,0.190592585297928,0.567443797656417
1595,CYP51A1,cytochrome P450 family 51 subfamily A member 1,protein_coding,739.040677000152,-0.839731950925394,0.762017800269667,-1.10198469199568,0.270468326761251,0.676587920717459
889,KRIT1,KRIT1 ankyrin repeat containing,protein_coding,517.231837292969,-0.742287658453015,0.864926748709954,-0.858208697511256,0.390777234248691,0.769569408786582
5893,RAD52,"RAD52 homolog, DNA repair protein",protein_coding,180.488452059877,0.544446890323206,0.918811494054102,0.592555593662553,0.553478604949753,0.867002021846632
572,BAD,BCL2 associated agonist of cell death,protein_coding,3058.95203529516,0.393448993427622,0.797397707406979,0.493416258628409,0.621718496623432,0.899696078483041
51056,LAP3,leucine aminopeptidase 3,protein_coding,2924.90919541308,-0.857897758978794,0.752760768947715,-1.13966852998736,0.254424422789443,0.658431730170452
4267,CD99,CD99 molecule (Xg blood group),protein_coding,4347.16962987401,2.64259239819532,0.741445932826913,3.56410667480487,0.000365097464005087,0.00627555733257565
9957,HS3ST1,heparan sulfate-glucosamine 3-sulfotransferase 1,protein_coding,120.01147872011,0.534123087363977,1.25126066173658,0.426867961007169,0.66947550270957,0.916196304908515
26,AOC1,amine oxidase copper containing 1,protein_coding,18973.4203777937,-0.684848217103608,0.710484507094091,-0.963917172387987,0.335087453629422,0.730755456477082
23072,HECW1,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1",protein_coding,759.556078509838,-1.34219774418247,1.43158345571368,-0.937561648135524,0.348469728422872,0.736295402467277
8379,MAD1L1,mitotic arrest deficient 1 like 1,protein_coding,1033.43037456789,0.630778353392938,0.795973702575945,0.792461297843888,0.428091749799767,0.79894333971802
3927,LASP1,LIM and SH3 protein 1,protein_coding,3208.70648684506,0.48556126608317,0.735044901375719,0.660587217426292,0.50887706874429,0.847082792750304
29916,SNX11,sorting nexin 11,protein_coding,790.059453425502,0.0564105164201141,0.758794940046341,0.0743422411549937,0.94073806642236,0.988508428389922
55365,TMEM176A,transmembrane protein 176A,protein_coding,21447.5282438136,0.511724841580557,0.729721943486475,0.701260043155111,0.48314074472725,0.832249536528315
4074,M6PR,"mannose-6-phosphate receptor, cation dependent",protein_coding,4357.46746268132,1.32792680452787,0.738579623505043,1.7979467105063,0.0721854529339786,0.327492150980116
90293,KLHL13,kelch like family member 13,protein_coding,316.879606548237,-1.82202078748443,0.833679165505006,-2.18551795807531,0.0288508907047228,0.174932010607977
56603,CYP26B1,cytochrome P450 family 26 subfamily B member 1,protein_coding,132.093064618806,-3.17986424780422,1.09419321022527,-2.90612683216116,0.00365933089121425,0.0392365492040049
3382,ICA1,islet cell autoantigen 1,protein_coding,282.511011323656,-1.49989647307926,0.864301612500418,-1.73538548509712,0.0826725492837146,0.355989016815461
79007,DBNDD1,dysbindin domain containing 1,protein_coding,319.712401201984,-1.23426172058182,0.937000805289912,-1.31724723566266,0.18775576531851,0.563382376850505
57679,ALS2,alsin Rho guanine nucleotide exchange factor ALS2,protein_coding,525.984411800111,-1.37802072642201,0.783452845659027,-1.75890704087345,0.0785932990839121,0.34471214324713
843,CASP10,caspase 10,protein_coding,336.116935689158,0.465768365127147,0.825811282715632,0.564013080077442,0.572745230398213,0.877803367162688
8837,CFLAR,CASP8 and FADD like apoptosis regulator,protein_coding,3196.74144292863,-0.506423468958104,0.722157390448409,-0.701264676726012,0.48313785358397,0.832249536528315
7035,TFPI,tissue factor pathway inhibitor,protein_coding,2726.5835714258,0.636862474872573,0.723769186226601,0.879924825472165,0.378900035042814,0.759625846258607
55471,NDUFAF7,NADH:ubiquinone oxidoreductase complex assembly factor 7,protein_coding,287.213978673512,-0.804222051546443,0.838860492277855,-0.958707745745238,0.337705995277446,0.730755456477082
10181,RBM5,RNA binding motif protein 5,protein_coding,2272.3468066596,-0.713391946071808,0.73178900356318,-0.974860161328204,0.32962962990739,0.730755456477082
9108,MTMR7,myotubularin related protein 7,protein_coding,57.5526703344596,0.0292340387813006,1.22950579787984,0.0237770645992169,0.981030434675414,0.997396812346837
6542,SLC7A2,solute carrier family 7 member 2,protein_coding,2160.04932000097,-1.22728921037838,0.915368985713813,-1.34075900487423,0.179998710237304,0.551985065849401
381,ARF5,ADP ribosylation factor 5,protein_coding,4618.21481823166,0.828559369951458,0.717576878945682,1.15466285810217,0.248228514960513,0.650619593716491
23098,SARM1,sterile alpha and TIR motif containing 1,protein_coding,606.118506098884,-0.239072477696239,0.803529955565593,-0.29752777235039,0.766063608180577,0.94604761044437
26073,POLDIP2,DNA polymerase delta interacting protein 2,protein_coding,5267.19036871248,-1.08965408761318,0.729104214880804,-1.49451075082774,0.135042174070631,0.471729175118031
23129,PLXND1,plexin D1,protein_coding,3098.39521082581,3.12460710333537,0.781000623145314,4.00077414887543,6.31355951397314e-05,0.00146753042849759
204,AK2,adenylate kinase 2,protein_coding,6684.11450473876,-0.594169423040278,0.730263030417082,-0.81363755015905,0.415852619710434,0.788934680788962
952,CD38,CD38 molecule,protein_coding,51.1612464126499,2.30467138506693,1.36663463129567,1.68638444562314,0.091721775393106,0.378332570468389
2288,FKBP4,FKBP prolyl isomerase 4,protein_coding,6220.91257308797,-0.243072284674105,0.740260828823691,-0.328360322753209,0.742639239161854,0.939144293917968
23028,KDM1A,lysine demethylase 1A,protein_coding,1363.54302037612,-0.0151755759507789,0.744228788828647,-0.0203910090264903,0.98373145611817,0.997511981057365
10180,RBM6,RNA binding motif protein 6,protein_coding,2743.663785152,-0.879580120002868,0.8839408594606,-0.995066706769961,0.319703821847258,0.730046611663171
84254,CAMKK1,calcium/calmodulin dependent protein kinase kinase 1,protein_coding,513.671598550666,0.704527277963775,0.908593076034746,0.775404630022552,0.438100600091504,0.804492426578642
5965,RECQL,RecQ like helicase,protein_coding,306.998633280734,0.00469345342294268,0.911059897006604,0.00515164089470251,0.99588960344857,0.999801305969085
55610,VPS50,VPS50 subunit of EARP/GARPII complex,protein_coding,376.943000172227,-0.698981977821003,0.837020109178625,-0.835083853011513,0.403670497400012,0.779667082321825
126393,HSPB6,heat shock protein family B (small) member 6,protein_coding,130.379410493278,-0.297117730937317,1.03197391758564,-0.287912054630645,0.773414059189508,0.947585266159425
115703,ARHGAP33,Rho GTPase activating protein 33,protein_coding,268.290433421405,-0.255370582553009,0.849827816643818,-0.300496850716809,0.763798198262187,0.945660727578629
4706,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,protein_coding,5401.14099099534,-0.385479129974331,0.780091591299765,-0.494145987821837,0.621203081712209,0.899665410168663
5166,PDK4,pyruvate dehydrogenase kinase 4,protein_coding,8789.13225945811,-3.78660098084142,0.872906080204051,-4.33792485436263,1.43834311985503e-05,0.000403772066091296
85413,SLC22A16,solute carrier family 22 member 16,protein_coding,24.2590558034533,0.333823620568336,1.70686090758567,0.195577518405131,0.844940858154123,0.964721948832129
51364,ZMYND10,zinc finger MYND-type containing 10,protein_coding,87.2252303583801,0.291624597192046,1.10685686268454,0.263470921149413,0.792187633553716,0.951567391827153
10165,SLC25A13,solute carrier family 25 member 13,protein_coding,996.171207956369,-1.07632904937388,0.748114857108224,-1.43872166038026,0.150229399811314,0.500635218023027
7982,ST7,suppression of tumorigenicity 7,protein_coding,977.829761964745,-0.633990505809134,0.752331495388952,-0.842701003074933,0.399395686059522,0.776504907502498
93655,ST7-OT3,ST7 overlapping transcript 3,protein_coding,977.829761964745,-0.633990505809134,0.752331495388952,-0.842701003074933,0.399395686059522,0.776504907502498
996,CDC27,cell division cycle 27,protein_coding,812.954286370259,-0.0352745315554642,0.766609847967387,-0.0460136686855669,0.963299355413731,0.992772016057161
6521,SLC4A1,solute carrier family 4 member 1 (Diego blood group),protein_coding,948.950723500932,-6.77503719546343,0.842955527326393,-8.03724155763218,9.18834238702718e-16,2.19982042948841e-13
799,CALCR,calcitonin receptor,protein_coding,188.050545311504,0.075503869063198,0.934329274555109,0.0808107710198313,0.935592442052451,0.98793987375446
3052,HCCS,holocytochrome c synthase,protein_coding,488.675168000831,0.0812812698917306,0.786658594687462,0.103324708381307,0.917705266114523,0.984182668126531
1856,DVL2,dishevelled segment polarity protein 2,protein_coding,681.239575364993,-0.356122747243752,0.767381228240484,-0.464075395824186,0.642593728834807,0.908412340914595
64063,PRSS22,serine protease 22,protein_coding,16.3660139470265,-4.55948075528765,2.17690386049344,-2.09447961301064,0.0362172772983295,0.204848245103849
5976,UPF1,UPF1 RNA helicase and ATPase,protein_coding,1875.4567752606,-0.101482426168304,0.729809214927148,-0.13905336366359,0.889407980505877,0.97685852172789
8935,SKAP2,src kinase associated phosphoprotein 2,protein_coding,853.862857851667,0.468610353104174,0.822196703605681,0.569949199563948,0.56871215391746,0.876356109646725
292,SLC25A5,solute carrier family 25 member 5,protein_coding,15891.8106057832,-0.778107933945218,0.774696375119258,-1.00440373665804,0.315184049661517,0.725772119851246
55013,MCUB,mitochondrial calcium uniporter dominant negative subunit beta,protein_coding,170.876613528878,3.3476986669039,0.933644012005512,3.58562645275567,0.000336270011299739,0.00583390177988853
3207,HOXA11,homeobox A11,protein_coding,91.9129533974763,0.175239482309966,1.07651593304172,0.162783918873195,0.870688570255362,0.973106089459211
5439,POLR2J,RNA polymerase II subunit J,protein_coding,4303.32818959939,1.0175906951446,0.717597061166939,1.4180530414796,0.156175279594171,0.510501562457328
56919,DHX33,DEAH-box helicase 33,protein_coding,285.733621511952,-0.42869639425441,0.86585846909678,-0.495111394708195,0.620521490894824,0.899663745645045
221981,THSD7A,thrombospondin type 1 domain containing 7A,protein_coding,397.048894492048,-0.96932565742978,0.838229562015095,-1.15639641138345,0.247519048784945,0.649631344518012
3980,LIG3,DNA ligase 3,protein_coding,566.781871746589,-0.0456707984426283,0.785492330220876,-0.0581428954625006,0.953634806527547,0.991410465882261
79657,RPAP3,RNA polymerase II associated protein 3,protein_coding,329.313178918211,0.0237099057185563,0.851597544264726,0.0278416792982037,0.977788423562494,0.995976582991141
6296,ACSM3,acyl-CoA synthetase medium chain family member 3,protein_coding,3820.93145838728,-3.24976787155105,0.906941514616713,-3.58321657921288,0.000339388979572873,0.00588192338020866
81691,REXO5,RNA exonuclease 5,protein_coding,54.2835025793515,0.485855714687013,1.26823954769316,0.383094594054216,0.701649627765754,0.928746048675425
57019,CIAPIN1,cytokine induced apoptosis inhibitor 1,protein_coding,1118.60365636629,-0.31012062557968,0.74345876104415,-0.417132249735186,0.676581677226575,0.918640611131327
56928,SPPL2B,signal peptide peptidase like 2B,protein_coding,1557.71367371451,0.316272532934029,0.747689569580971,0.422999792696424,0.672295412307363,0.917107796859617
80256,ATOSB,atos homolog B,protein_coding,565.413590544324,0.160637371899294,0.778412571680172,0.206365335997291,0.836505545904624,0.963399170546228
51226,COPZ2,COPI coat complex subunit zeta 2,protein_coding,1335.71507017398,1.34991328588923,0.775857947581312,1.73989747749249,0.0818770217099891,0.353653867741677
5577,PRKAR2B,protein kinase cAMP-dependent type II regulatory subunit beta,protein_coding,91.9212715908487,-1.77847722450166,1.1983054024105,-1.48416023237824,0.137766417071781,0.476734954306417
