"Gene_ID","Rank_Score"
"29923",34.5443496250536
"5507",25.5617228440053
"858",25.0350211279092
"3099",24.6351076652573
"91522",21.9225630974028
"2214",20.6155386639149
"23023",18.2026075022531
"8996",17.5038999207046
"60401",17.3385062134665
"6513",15.7297326705621
"140885",14.5633201054558
"1030",14.221396201505
"857",14.1247472834831
"4131",13.8490125113354
"1464",13.2770756047187
"6241",13.2621540693501
"10783",13.2278322277131
"7450",13.2044216690131
"3988",12.9668464896232
"7422",12.742869148743
"240",12.4232537984564
"307",12.2932809416676
"64782",12.1259257564982
"57222",12.0994214055746
"5046",11.4932158318738
"51203",11.3492577977408
"7424",11.3353993193236
"9619",11.2476937558336
"5954",11.1829228562337
"1012",10.8383184535604
"374655",10.6137162351556
"6281",10.5914914513352
"10376",10.5723244007282
"133",10.3668615635816
"2634",10.3437698964521
"23255",10.2869869125132
"7852",10.2408650982476
"121260",10.1617170052589
"81539",10.1355219052388
"2026",9.92219873693196
"4162",9.84698323982161
"4208",9.72968656342439
"4515",9.41672828575217
"4481",9.40778218066809
"341",9.4016795543389
"112724",9.26480675494823
"3274",9.13750118528893
"123",9.11591812528762
"8614",9.11417832158047
"81578",9.03474679773486
"11031",8.98908621954757
"5230",8.88926386558932
"10457",8.72974382716674
"26509",8.72099097081312
"8819",8.69864861536076
"121457",8.55698112906283
"27143",8.55336798782664
"2899",8.47585655432748
"5214",8.3737313760982
"11314",8.33116990149943
"10068",8.30750986878598
"126326",8.30494089153283
"9938",8.28359549033983
"83605",8.24876625294432
"114614",8.2090722821683
"57674",8.17252094040206
"1520",8.12490197211105
"55314",8.1093748962002
"567",8.0732093785291
"79876",8.02888324947083
"226",7.98410641460218
"6916",7.957388942673
"283140",7.94487874742715
"5699",7.90071017136362
"3714",7.88875817928574
"3133",7.87484248376047
"283848",7.85914724490277
"3958",7.84582333516023
"84166",7.82231014144085
"1643",7.82224395005199
"51313",7.80055875935
"56950",7.78492078587396
"56911",7.75069200349252
"24137",7.72956656419446
"3059",7.61700299883038
"3134",7.5928579896225
"4828",7.58747494525333
"5912",7.54938926172527
"1356",7.53645534494987
"84701",7.53614886548881
"7533",7.46345822992346
"1992",7.40694167876086
"26508",7.39322393294153
"9514",7.35086290614239
"5836",7.34190872616451
"57559",7.34009729135457
"3627",7.27900330456163
"9815",7.24754374146984
"7167",7.20356323829671
"5163",7.18597296652338
"112399",7.04828936325772
"10346",7.04462295647824
"5696",7.02027874764343
"23231",7.00695606473865
"51559",7.00460222299842
"162967",6.99356370239409
"23155",6.95653879422376
"1777",6.88591673024685
"11067",6.83344103359292
"91010",6.80665968664345
"85028",6.80371226409945
"83440",6.77790111451344
"221184",6.75551783950469
"639",6.74541055708605
"22885",6.73625924734974
"3003",6.70710099270725
"55026",6.69970924761741
"3937",6.62184197990197
"55558",6.6138210577549
"54769",6.57190797067108
"47",6.57115784548081
"56901",6.55463870941981
"6157",6.55178686537943
"8497",6.52578383311475
"203259",6.51990396842964
"6175",6.51413561440009
"3241",6.5056457954543
"5315",6.47671001427799
"55321",6.46661332787735
"6509",6.43923024799131
"134265",6.42016494559479
"3299",6.42004315128514
"6676",6.41378595015993
"84329",6.39647841572469
"7039",6.39128039400919
"4174",6.38568909165968
"7098",6.38244245615514
"6688",6.35277302142972
"9833",6.34808824973139
"919",6.34078604927612
"1956",6.33143702058859
"8985",6.32127560300477
"11118",6.30084905288429
"1003",6.25418081278769
"29780",6.21404722421415
"7851",6.20910732728123
"128966597",6.20910732728123
"4938",6.20632826499221
"230",6.15702189119281
"81552",6.1372544196707
"925",6.10140728804025
"6352",6.09868913568017
"7903",6.09762442875754
"4688",6.09413183539906
"80758",6.08917212796931
"10044",6.08662322463816
"9507",6.08156679741007
"8531",6.06984561293018
"23462",6.0561617475003
"10460",6.01907267695572
"106614088",6.00480209203458
"10205",5.99865092691274
"23612",5.98315930860084
"116496",5.96241895710296
"284996",5.9286770553794
"23102",5.92802765537285
"9871",5.92117615279916
"55704",5.91780372593796
"10076",5.89883262900525
"9246",5.88523052772222
"3936",5.87578418359375
"55589",5.85528823413703
"57568",5.8272514736478
"197259",5.82193536410116
"11156",5.82092100347635
"355",5.8106659042867
"2014",5.79603061079522
"1026",5.78865443402273
"404550",5.73991908306864
"5034",5.7344999896792
"939",5.72033330109056
"9735",5.69448027090972
"330",5.66352633546946
"5820",5.66320306889701
"56005",5.64423220078829
"84689",5.63857323014425
"10981",5.61603199777846
"7004",5.6030224829612
"1033",5.5979563579728
"8490",5.59287388429773
"57580",5.58289263159499
"5724",5.56223450987103
"7378",5.55595093696491
"126382",5.54749976696103
"4869",5.54359798909967
"10095",5.534008807571
"10495",5.52251256284509
"6319",5.51349904088529
"4603",5.49921416785916
"28988",5.49421702564172
"7436",5.41739821440915
"124997",5.41043368825672
"29097",5.39262759649769
"55723",5.39177864588898
"124222",5.39031062464311
"2701",5.3656269025699
"84617",5.35941159281888
"114904",5.32735612315178
"197135",5.32653031880488
"79705",5.32508797163115
"440836",5.32279857640763
"114907",5.30618207957368
"136319",5.28916966080707
"133418",5.28235386793662
"10960",5.28190645344969
"30001",5.24398678066334
"57118",5.23753462508625
"83540",5.2370059652693
"64866",5.22322543703486
"3689",5.2191369867919
"10673",5.2101708601976
"23670",5.20247959419602
"5551",5.20233542178247
"4345",5.18170669540337
"2869",5.17345861616011
"79228",5.16873601224872
"834",5.16426947808653
"5129",5.16022341236417
"4001",5.15142703898157
"129804",5.14200708873536
"302",5.11406793225047
"11007",5.10451897687168
"170384",5.10314571929963
"10669",5.10121735658537
"79651",5.0929585620798
"285966",5.08213492643562
"22846",5.07831169108692
"8291",5.06853447784357
"64581",5.06304401437729
"2791",5.05474381539926
"8862",5.04706817585402
"6541",5.01907499080158
"19",5.0134305470471
"114088",4.99980559825336
"3603",4.98270089116077
"9601",4.97668121342137
"132864",4.96309544970307
"51285",4.94745612205021
"2280",4.94677473222389
"55824",4.93918833236367
"27347",4.93425405875253
"3915",4.93172292593574
"6150",4.92955679651253
"4690",4.89015429409863
"5601",4.88865839165346
"5428",4.88083456450576
"57125",4.87296832894756
"56261",4.87096133557717
"4332",4.85278643117547
"301",4.79007198394128
"9844",4.77836509914106
"51291",4.74843833696328
"2533",4.74695317907436
"91351",4.73070320879262
"3703",4.72728130271932
"100133205",4.72309630009472
"10489",4.69953873415468
"8832",4.6975357869162
"9369",4.6877159356185
"169611",4.68088242586272
"953",4.66683044418171
"81831",4.66592560447191
"51360",4.66189689352351
"26136",4.63431602702452
"4233",4.62499153115583
"27145",4.61650854172907
"11072",4.61552481156688
"23551",4.60528107425334
"6790",4.60341166548405
"27113",4.60070363534049
"80830",4.60069754488431
"1475",4.58914455357944
"4283",4.5762090634966
"84034",4.5589278016088
"5873",4.54358520775718
"10553",4.5399701637752
"7979",4.53580689160782
