"Gene_ID","Gene_Symbol","meta_log2FC","meta_SE","meta_pvalue","meta_padj","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue","Regulation"
7105,"TSPAN6",-0.790607431133056,0.733753877598405,0.281264479534332,0.526779966323294,-2.22873860474254,0.647523742476429,0.82610528758933,73.2030811058434,3.73177231289102,0.053386718555212,"Not significant"
8813,"DPM1",0.197761680220643,0.191915362392856,0.302792712105523,0.549394985509186,-0.178385518149306,0.573908878590593,0,0,0.000428708934529057,0.983480751031689,"Not significant"
57147,"SCYL3",-0.504717575025266,0.375428959919232,0.178826923971639,0.409081000323992,-1.24054481522029,0.23110966516976,0,0,0.62774902926925,0.428182188818961,"Not significant"
55732,"FIRRM",0.130995251710521,0.309759556379159,0.672373086147733,0.827682490690212,-0.476122322659736,0.738112826080778,0,0,0.0237937165179767,0.877410948107053,"Not significant"
2268,"FGR",0.144145934057237,0.44734784331782,0.747283473691357,0.871689241103583,-0.732639727407357,1.02093159552183,0,0,0.738622367119855,0.390102540712563,"Not significant"
3075,"CFH",1.04271192897318,0.468720859864916,0.026108747138387,0.116026446165746,0.1240359248353,1.96138793311106,0.120887936046233,20.6898110592938,1.2608720434995,0.261486089190709,"Not significant"
2519,"FUCA2",0.178172867924946,0.245931522500718,0.468770106901057,0.692091425220536,-0.303844058839564,0.660189794689455,0,0,0.889760215253309,0.345542295558766,"Not significant"
2729,"GCLC",-0.562042841258249,0.653355326654862,0.389656375545966,0.628081830450432,-1.84259575060918,0.718510068092683,0.572723292448907,59.3613751482644,2.46071318517386,0.116725772603259,"Not significant"
4800,"NFYA",0.190768152154243,0.256370148695219,0.456808606710554,0.6819747063165,-0.311708105999563,0.69324441030805,0,0,0.236008410059201,0.627104033543843,"Not significant"
90529,"STPG1",-0.493890885454797,0.28747722887673,0.0857934389365026,0.258318027232048,-1.05733590042856,0.0695541295189714,0,0,0.0484154404739021,0.825843827085775,"Not significant"
57185,"NIPAL3",0.764714867129512,0.263029605394933,0.0036452396879788,0.0272292336360211,0.249186313687661,1.28024342057136,0,0,0.997933831978534,0.317810977062867,"Upregulated"
81887,"LAS1L",0.258691413708171,0.272823422988328,0.343027191895325,0.587978086489279,-0.276032669487889,0.793415496904231,0,0,0.0794356047155378,0.778063723449766,"Not significant"
22875,"ENPP4",-0.523901752700553,0.353529128196309,0.138361682810913,0.350400182069787,-1.21680611145116,0.169002606050057,0.0561388919457857,13.7021125346016,1.15877691722286,0.281719341508254,"Not significant"
6405,"SEMA3F",0.928683255743805,0.356591482007736,0.00920530499901488,0.0550643865579936,0.22977679381488,1.62758971767273,0,0,0.148190197907973,0.700270904155123,"Not significant"
1080,"CFTR",-1.14921443146616,1.37991563679261,0.404949077604852,0.641249212588662,-3.85379938128334,1.55537051835102,2.95990249377683,75.1339889886167,4.02155375682178,0.0449223099925508,"Not significant"
54467,"ANKIB1",-0.209511439916242,0.487592842407779,0.667424633002229,0.824528023306484,-1.165175850155,0.746152970322518,0.284064388492685,47.0360960947141,1.88807834442921,0.169418824648463,"Not significant"
1595,"CYP51A1",-1.10157011411801,0.328601366311104,0.000801433401334269,0.00823229474289799,-1.74561695735843,-0.457523270877595,0,0,0.145039866435877,0.703321234966735,"Downregulated"
889,"KRIT1",0.157375136853167,0.571870786422096,0.783167562246821,0.892071322275398,-0.963471008344739,1.27822128205107,0.388331060987187,48.6750908112491,1.94837168892483,0.162762424855829,"Not significant"
5893,"RAD52",0.382661171296424,0.275798555589812,0.165299653689299,0.390721866642508,-0.157894064647776,0.923216407240624,0,0,0.0340748922456938,0.85354760411228,"Not significant"
572,"BAD",-0.0107450341325417,0.29125826080183,0.970571298135321,0.986306124953543,-0.581600735503902,0.560110667238819,0,0,0.29649606937596,0.58608745498548,"Not significant"
51056,"LAP3",-0.345148114679845,0.269221001228286,0.199833797559614,0.434293857591276,-0.872811580969098,0.182515351609409,0,0,0.532029102114972,0.465755029935625,"Not significant"
4267,"CD99",1.60301580402587,0.923163531232408,0.0824865007523825,0.251613567506816,-0.206351469030471,3.4123830770822,1.38320832923688,80.0182697921162,5.0045716241602,0.0252804590557426,"Not significant"
9957,"HS3ST1",0.105337302010241,0.309826811524198,0.733865798146277,0.864851678043671,-0.501912090022067,0.712586694042549,0,0,0.125101843863552,0.723565678625623,"Not significant"
26,"AOC1",-1.20495780824986,0.44961017141043,0.00736209133456946,0.0466023837859155,-2.08617755129718,-0.32373806520254,0,0,0.893850596376042,0.344435961611766,"Downregulated"
23072,"HECW1",-1.80393076443049,0.35310541219332,3.24280144924263e-07,1.1475772162766e-05,-2.49600465507557,-1.11185687378541,0,0,0.110766400968638,0.739273280668745,"Downregulated"
8379,"MAD1L1",0.0289656883994103,0.269507165655955,0.914410963160938,0.95875793206046,-0.499258649861731,0.557190026660552,0,0,0.645663473796758,0.421667381031826,"Not significant"
3927,"LASP1",0.300257468090351,0.347684119667789,0.3878116750431,0.627334333576101,-0.38119088445503,0.981705820635733,0,0,0.0818715882239924,0.774776933814925,"Not significant"
29916,"SNX11",0.221650191689567,0.275816675075934,0.421619830112376,0.655704118374739,-0.318940557794851,0.762240941173985,0,0,0.0546416404047192,0.815174787339087,"Not significant"
55365,"TMEM176A",0.24227426659411,0.340066216615321,0.4761969202719,0.697304718065072,-0.424243270330715,0.908791803518935,0,0,0.174172417069153,0.676429961218381,"Not significant"
4074,"M6PR",0.514517972390301,0.621814705939477,0.407984425324588,0.643299497912691,-0.704216456308439,1.73325240108904,0.502787596465151,60.5440598764168,2.5344726215313,0.111384096139356,"Not significant"
90293,"KLHL13",-1.38022969690982,0.253416759045775,5.13759359630252e-08,2.23452175674022e-06,-1.87691741771841,-0.883541976101239,0,0,0.309415171360101,0.578039281441473,"Downregulated"
56603,"CYP26B1",-2.46563148732709,0.520774770416196,2.19547262381298e-06,5.96805592477227e-05,-3.48633128139995,-1.44493169325423,0,0,0.550863455708453,0.457965101106211,"Downregulated"
3382,"ICA1",-0.62821478357442,0.576360761144863,0.275727242292003,0.521479928155852,-1.75786111752044,0.501431550371604,0.345003417434675,43.9650429578807,1.78460027951541,0.181585451747546,"Not significant"
79007,"DBNDD1",-0.183769356231586,0.841744616127039,0.827180096460748,0.914619422714471,-1.83355848802108,1.4660197755579,0.934097697223058,62.7854506967091,2.68712108226867,0.101162441483059,"Not significant"
57679,"ALS2",-0.481366210758077,0.669232633994242,0.47196789914874,0.694244609804284,-1.79303807066567,0.830305649149513,0.638063277492166,65.4683451160179,2.89589364703126,0.0888055170386974,"Not significant"
