"Gene_ID","meta_log2FC","meta_SE","meta_pvalue","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue","meta_padj","Gene_Symbol"
1875,-0.888868405281549,0.246984600044556,0.000319588279660458,-1.37294932610491,-0.404787484458189,0,0,0.0540408228663912,0.816175454392365,0.00388899708904508,"E2F5"
22800,-1.02428873380882,0.236758914385303,1.51638816449456e-05,-1.48832767902281,-0.560249788594824,0,0,0.0429568875222764,0.835806472256917,0.000307450550704965,"RRAS2"
83876,-2.9094377354623,0.443550617293755,5.40150579035945e-11,-3.77878097067857,-2.04009450024603,0,0,0.874820996324887,0.349624101455741,4.58040896675575e-09,"MRO"
10752,-3.36001519475494,0.896490631545863,0.000178275373221348,-5.1171045450624,-1.60292584444748,1.2212075138626,72.7520022239226,3.66999442754637,0.0554003694037669,0.00241819603334349,"CHL1"
4212,-1.14813898656112,0.36402796475158,0.00161056990606999,-1.86162068683963,-0.434657286282605,0,0,0.305906098176559,0.580203300349534,0.0142957959470321,"MEIS2"
2947,-2.04678205604937,0.243474149761222,4.22181708682594e-17,-2.52398262074787,-1.56958149135086,0,0,0.00683214235356539,0.934124456238609,9.98644908450423e-15,"GSTM3"
79679,-5.25605769886496,0.815108670121229,1.13118601023063e-10,-6.85364133578891,-3.65847406194101,0.668099455414339,47.665170575261,1.91077340079625,0.166877373358005,9.07844105710692e-09,"VTCN1"
4613,-2.24947450970853,0.418204564128313,7.49483105452516e-08,-3.0691403935703,-1.42980862584677,0,0,0.510010284225341,0.475134404154887,3.14806252673404e-06,"MYCN"
79746,-1.43860841172026,0.332046426231605,1.4739082844783e-05,-2.08940744832944,-0.787809375111078,0,0,0.851699685410736,0.356071949321607,0.000301101596963954,"ECHDC3"
80206,-1.5581168408213,0.436209283812808,0.000354335895533688,-2.41307132681642,-0.703162354826185,0,0,0.716482990348254,0.397299980820296,0.00420153497733996,"FHOD3"
9071,-2.70841646348786,0.434460157844054,4.54727629543019e-10,-3.5599427255798,-1.85689020139593,0,0,0.4735832291238,0.491343317825796,3.261219483579e-08,"CLDN10"
29968,-3.01761360210531,0.950572826521549,0.00150083920128613,-4.88070210676999,-1.15452509744064,1.30056976751942,69.6570837006729,3.29566212467909,0.0694630970172116,0.0134905433006273,"PSAT1"
6926,-1.188498449484,0.249639015476574,1.92761911747197e-06,-1.67778192895412,-0.699214970013879,0,0,0.120912201011652,0.728047232246741,5.30409970630093e-05,"TBX3"
92558,-2.10088434294019,0.368823315957095,1.22520848428978e-08,-2.82376475887474,-1.37800392700565,0,0,0.512795345697547,0.473931269715105,6.58146852337813e-07,"BICDL1"
112609,-3.03085912613569,0.528489590132464,9.75435656804852e-09,-4.06667968899965,-1.99503856327172,0.0866332093373868,8.29115414617683,1.09040735459033,0.296380969895461,5.43462766971067e-07,"MRAP2"
8763,-0.596149050264627,0.222755225934116,0.00744507110240557,-1.03274127046358,-0.159556830065677,0,0,0.811053624055155,0.367808929684247,0.0469732773391363,"CD164"
57224,-0.956619796196932,0.240829051225742,7.12135808149141e-05,-1.42863606303034,-0.484603529363525,0,0,0.0749021370947463,0.784328590534035,0.00113227913930128,"NHSL1"
54806,-0.653643800951579,0.218605522314717,0.00278921930704203,-1.08210275150999,-0.225184850393166,0,0,0.0595697132799498,0.807177323089298,0.0221788791827865,"AHI1"
2016,-2.60971456104753,0.379576274627451,6.18437631795526e-12,-3.35367038870322,-1.86575873339184,0,0,0.740540300934593,0.389487855425702,6.17658858481413e-10,"EMX1"
