"Gene_ID","meta_log2FC","meta_SE","meta_pvalue","ci_lower","ci_upper","tau2","I2","Q","Q_pvalue","meta_padj","Gene_Symbol"
57185,0.764714867129512,0.263029605394933,0.0036452396879788,0.249186313687661,1.28024342057136,0,0,0.997933831978534,0.317810977062867,0.0272292336360211,"NIPAL3"
81691,1.10405181917986,0.404873189585946,0.00639309189119069,0.310514949285549,1.89758868907417,0,0,0.264564884875784,0.607001219961761,0.0421919030684895,"REXO5"
54972,2.35389364770801,0.866170471507901,0.00657598565664715,0.656230719080449,4.05155657633558,1.07096051290217,69.436834783948,3.27191242441995,0.0704754224785627,0.0431120500102479,"TMEM132A"
5898,0.717999463005785,0.173384084101157,3.45656106754744e-05,0.378172902675054,1.05782602333652,0,0,0.0576354467267911,0.810273016998849,0.000623058995638264,"RALA"
27072,0.658314968257831,0.220236317297306,0.00279773129831815,0.226659718267375,1.08997021824829,0,0,0.142797345539739,0.705515758277657,0.0222285274574093,"VPS41"
80342,1.13475914122101,0.413542066081311,0.00606956667303315,0.324231585609354,1.94528669683266,0,0,0.292628766073567,0.588540859059169,0.0406335488840645,"TRAF3IP3"
9031,0.610088511275016,0.20767171206348,0.00330598677791664,0.203059435022824,1.01711758752721,0,0,0.620934465038835,0.430700244791332,0.0253553013234642,"BAZ1B"
25900,1.14292551254122,0.321006931202661,0.000370235684421732,0.513763488596274,1.77208753648616,0,0,0.235016198600841,0.62782908184468,0.00435004935502874,"IFFO1"
3423,0.832917698700649,0.226495179605467,0.00023560576758643,0.388995304002003,1.27684009339929,0,0,0.0402569875495399,0.840978952278917,0.00305449285035368,"IDS"
7305,2.87522757728712,0.832287629679316,0.000551093265212938,1.24397379833745,4.50648135623678,1.02378141075126,72.451435607341,3.6299532191466,0.0567484115856066,0.00612058525112524,"TYROBP"
51360,0.8592853096812,0.202385166551529,2.17822684693414e-05,0.462617672235063,1.25595294712734,0,0,0.420401896264933,0.516736573954488,0.000418959095252681,"MBTPS2"
