"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0170035","L-amino acid catabolic process","36/1020","75/11930",0.48,5.61411764705882,12.256267921033,2.48208008791905e-19,9.54698259271408e-17,9.54698259271408e-17,"HIBADH/ACAT1/AMDHD1/HPD/DLST/DDAH1/FTCD/AGXT/HGD/MCCC2/GPT/RIDA/DLD/ALDH7A1/AGXT2/PRODH2/AFMID/GPT2/PAH/ASS1/DAO/OAT/SDSL/ACAD8/SHMT1/HIBCH/ACMSD/AUH/HOGA1/ACADSB/ECHS1/ALDH4A1/ALDH6A1/GCAT/MCCC1/GCDH",36
"GO:0032787","monocarboxylic acid metabolic process","99/1020","452/11930",0.219026548672566,2.56175169182717,10.3499397623212,4.89776633421389e-19,1.72687078000492e-16,1.72687078000492e-16,"PHYH/SCD5/PDHB/CYP4A11/CYP4F3/DCXR/PTGDS/ECHDC1/ACAT1/PTGR1/LPL/ADH1B/CRYL1/CYP39A1/EHHADH/PCCB/HAO2/HIF1A/ACSM3/ARL2/ABCD3/PSEN1/PTGS2/PCK1/UGT1A9/IDH1/CEACAM1/EPHX1/CRAT/ADH6/PCK2/AGXT/CYP27A1/CYP8B1/ACSBG1/KIF12/ALDOB/SLC25A42/HACL2/AKR1A1/ABAT/CBR1/ETFA/ALDH5A1/ECHDC3/ACSM2B/DLD/LDHB/PDK2/ETFDH/ACSS2/MMUT/ACAT2/GGT1/AGXT2/PECR/SLC4A4/GRHPR/CYP4A22/PCCA/ACOT1/MGAT4A/ACOX2/CYP4F2/PLIN5/SLC27A2/DGAT2/MCEE/THEM4/CYP4F12/ECI2/ABHD10/ALDH1A2/RDH10/HACL1/SCP2/GLYAT/ACMSD/ACOX1/FBP1/AUH/PM20D1/CYP26B1/HPGD/HOGA1/ADTRP/XYLB/ACADSB/PDHA1/ECHS1/CBR4/HACD3/TECR/OGDHL/MCCC1/GATM/PPARA/SORD/GCDH",99
"GO:0072521","purine-containing compound metabolic process","95/1020","469/11930",0.202558635394456,2.36914168652536,9.24939419233005,6.01726714737299e-16,1.95838902311809e-13,1.95838902311809e-13,"NDUFA10/PDHB/SLC22A12/MT-ND4L/SUCLG2/MT-ND3/ACAT1/SLC22A11/CARMIL1/NT5C2/MT-ND1/SPHK2/HIF1A/ACSM3/DLST/SDHB/ARL2/MYH3/PDE7B/PSEN1/SUCLA2/SLC2A9/IDH1/MT-ND5/SUCLG1/SDHD/ASPDH/BCKDHB/MACROD1/ACSBG1/SULT1B1/GMPR2/ALDOB/MCCC2/ATP6V1A/ABCC6/PRKN/SLC25A12/ACSM2B/NPR1/DLD/ALDH7A1/ATP6V1B2/LDHB/PDK2/ACSS2/MMUT/ADK/GDA/SLC4A4/SLC16A9/ATP5MC3/MT-ND6/CTNS/AFMID/PCCA/AK3/PNP/PARG/ACOT1/ACO1/SLC27A2/PDE1A/DMAC2L/DGAT2/NDUFS3/SULT1C4/MCEE/PID1/AK4/GMPR/NDUFV1/SHMT1/NUDT4/GLYAT/ACMSD/FBP1/MDH1/ATP6V1B1/PDHA1/ATP5PB/MT-ND4/CBR4/MT-ATP6/FHIT/TECR/PC/MT-ND2/PANK1/ABHD14B/OGDHL/MDH1B/PPARA/PDE8B/GCDH",95
"GO:0072329","monocarboxylic acid catabolic process","38/1020","104/11930",0.365384615384615,4.27356711915535,10.2520027036935,1.94819927356298e-15,5.88773651888925e-13,5.88773651888925e-13,"PHYH/CYP4A11/CYP4F3/DCXR/ECHDC1/ACAT1/CRYL1/EHHADH/PCCB/ABCD3/CRAT/AGXT/HACL2/AKR1A1/ETFA/LDHB/ETFDH/AGXT2/PCCA/ACOX2/CYP4F2/PLIN5/SLC27A2/MCEE/CYP4F12/ECI2/HACL1/SCP2/ACOX1/AUH/CYP26B1/HOGA1/ADTRP/XYLB/ECHS1/PPARA/SORD/GCDH",38
"GO:0015711","organic anion transport","65/1020","293/11930",0.221843003412969,2.59469316736934,8.45045622466998,4.03678132765938e-13,1.13864145315512e-10,1.13864145315512e-10,"CYP4A11/SLC22A12/SLC36A2/SLC7A9/SLC52A3/SLC22A11/ABCB1/LRP2/SLC25A29/SLC13A2/SLC22A6/SLC22A3/ABCD3/SLC2A9/SLC16A7/SLC43A2/SLC39A5/SLC26A6/CEACAM1/SLC23A1/SLC43A1/SLC25A5/SLC16A4/SFXN5/SLC29A2/RGS2/SLC4A1/FABP1/ALB/MPC1/SLC13A3/CA4/SLC25A42/SLC10A2/ABCC6/SLC4A9/ABAT/CLTRN/SLC25A12/SLC22A2/GLTPD2/SLC39A4/CLDN2/SLC4A4/SLC16A9/SLC16A12/SLC3A1/CTNS/LLGL2/SLC2A2/SLC25A10/SLC1A1/CYP4F2/SLC27A2/SLC26A7/FOLR1/SLC5A12/SLC16A5/PLA2R1/ACE2/CASR/SLC25A20/SLC22A8/SLC25A39/PPARA",65
"GO:1902600","proton transmembrane transport","43/1020","155/11930",0.27741935483871,3.24471853257432,8.60076364693612,1.74253229814982e-12,4.60790884591993e-10,4.60790884591993e-10,"NDUFA10/ATP6V0D2/SLC36A2/MT-ND4L/MT-ND3/SLC25A27/MT-ND1/ATP6V0E2/SPHK2/SLC15A2/SLC2A9/MT-ND5/SLC25A5/ATP1A1/ATP6V1H/LETM1/SLC47A2/ATP6V1A/SLC45A4/SLC25A12/ATP6V1B2/ATP5MC3/MT-ND6/MT-CO1/CTNS/MT-CO2/COX5B/MT-CYB/DMAC2L/NDUFS3/UQCRC1/NDUFV1/ATP6V1B1/ATP6V0A4/ATP5PB/MT-ND4/MT-ATP6/MT-CO3/GHITM/ATP6V1C2/UQCRH/MT-ND2/ATP6V1G3",43
"GO:0009636","response to toxic substance","46/1020","184/11930",0.25,2.92401960784314,8.04198274215189,1.60040794869981e-11,3.9831329593817e-09,3.9831329593817e-09,"GPX3/PRKCA/ABCB1/RDH12/PRDX3/PTPN13/APOM/SLC30A4/SLC15A2/AIFM1/PTGS2/SUCLA2/ALAD/ALDH2/SLC23A1/SUCLG1/EPHX1/AMBP/FABP1/ALB/SLC47A2/PNKD/PDZK1/AKR1A1/PRKN/SLC22A2/EPHX2/ADK/BPHL/AKR7A3/HAGH/PON3/MT-CYB/ASS1/MT1G/EHMT1/FBLN5/RAB29/CAT/ALAS1/GLYAT/NFE2L2/AUH/GSTM3/SLC22A8/GCH1",46
"GO:0006790","sulfur compound metabolic process","51/1020","218/11930",0.23394495412844,2.73623853211009,7.9106438999645,1.82882598842472e-11,4.29875708723611e-09,4.29875708723611e-09,"PDHB/SUCLG2/FMO1/ACAT1/AHCY/ACSM3/DLST/CTH/SUCLA2/SUCLG1/AGXT/DPEP1/BCKDHB/ACSBG1/SULT1B1/MCCC2/AKR1A1/ACSM2B/DLD/ALDH7A1/TST/PDK2/ACSS2/MMUT/GGT1/BHMT2/CTNS/GHR/PCCA/SLC25A10/BPHL/ACOT1/SLC1A1/SLC27A2/HAGH/DGAT2/SULT1C4/MCEE/GSTA2/GLYAT/NFE2L2/PDHA1/GSTM3/CBR4/TECR/PANK1/NAT8/ABHD14B/MCCC1/GCDH/BHMT",51
"GO:0006631","fatty acid metabolic process","60/1020","289/11930",0.207612456747405,2.42825157744759,7.51533283302317,6.12487540400725e-11,1.3639130439134e-08,1.3639130439134e-08,"PHYH/SCD5/CYP4A11/CYP4F3/PTGDS/ECHDC1/ACAT1/PTGR1/LPL/CRYL1/EHHADH/PCCB/HAO2/ACSM3/ABCD3/PTGS2/UGT1A9/CEACAM1/EPHX1/CRAT/ACSBG1/KIF12/HACL2/CBR1/ETFA/ECHDC3/ACSM2B/PDK2/ETFDH/ACSS2/MMUT/ACAT2/GGT1/PECR/CYP4A22/PCCA/ACOT1/ACOX2/CYP4F2/PLIN5/SLC27A2/DGAT2/MCEE/THEM4/CYP4F12/ECI2/HACL1/SCP2/ACOX1/AUH/PM20D1/HPGD/ADTRP/ACADSB/ECHS1/CBR4/HACD3/TECR/PPARA/GCDH",60
"GO:0072001","renal system development","46/1020","193/11930",0.238341968911917,2.78766636188154,7.6555482898623,9.25561281169011e-11,1.95802489031304e-08,1.95802489031304e-08,"TCF21/CYP4A11/RBP4/ACAT1/GATA3/BMP6/LHX1/AGTR1/MME/EPCAM/UMOD/SLC22A6/AQP1/COL4A4/WT1/ARL3/AQP2/IFT88/NPHS2/FOXC1/CALB1/SALL1/SLIT2/IRX2/CYP4A22/GPC3/ROBO2/PAX8/SFRP1/ASS1/COL4A3/TFAP2A/ALDH1A2/WNK4/CAT/CTSH/PTPRO/SLC34A1/CYP26B1/HPGD/SMAD6/STRA6/KLF15/TFAP2B/HS3ST3B1/FGF1",46
