"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022836","gated channel activity","40/2055","141/12392",0.283687943262411,1.71068661455367,3.78411002837159,0.000295815293696423,0.0067519517702448,0.0067519517702448,"TPCN1/CNGA1/HVCN1/ANXA6/KCNJ2/KCNE1/ANO1/GRIK2/CALHM6/KCNJ10/KCNJ3/CACNA2D2/KCNK5/PACC1/KCNS3/GABRA2/SCNN1A/KCNJ1/CCDC51/VDAC1/GRIK5/KCNJ16/KCNMA1/CLCNKB/TMEM63A/CACNA2D3/SCNN1G/MCOLN3/CLCN5/KCNAB2/P2RX7/AQP1/KCNH6/KCNJ15/KCNE4/NCS1/SCNN1B/GRIK3/KCNC3/TRPV1",40
"GO:0019865","immunoglobulin binding","11/2055","22/12392",0.5,3.01508515815085,4.21775868472039,0.000299642830040449,0.0067519517702448,0.0067519517702448,"FCGR3A/PIGR/LGALS3/FCGR2A/C1QC/C1QA/AMBP/UMOD/HRG/C1QB/VWF",11
"GO:0009055","electron transfer activity","31/2055","101/12392",0.306930693069307,1.85084435450844,3.82806261283134,0.000309598815414136,0.00682463475717248,0.00682463475717248,"NDUFA10/ALDH2/PHGDH/MT-ND4L/MT-ND4/NCF2/GLDC/FDX1/NDUFV1/NDUFS3/ALDH4A1/NQO2/UQCRH/MT-CYB/MT-ND6/MT-CO3/ETFDH/UQCRC1/SDHD/MT-ND1/MT-CO1/ETFA/MT-ND5/NCF1/COX5B/MT-CO2/SDHB/DEGS1/MT-ND2/MT-ND3/AKR7A3",31
"GO:0008201","heparin binding","33/2055","110/12392",0.3,1.80905109489051,3.80013984969843,0.000321949361461882,0.00694588622387975,0.00694588622387975,"FGF1/CCN2/LRPAP1/KNG1/AOC1/ADA2/PTN/SLIT2/VEGFB/FGF9/F11/SFRP1/ADAMTS15/FSTL1/VEGFA/FBLN7/COL5A3/LIPH/CXCL10/CEL/LXN/CRISPLD2/PCSK6/APOH/LPL/PTPRC/CCN3/COL23A1/GPNMB/NELL1/SERPINA5/HRG/NDNF",33
"GO:0038187","pattern recognition receptor activity","13/2055","29/12392",0.448275862068966,2.70317979696283,4.09410894055914,0.000336701523511013,0.00711281968417015,0.00711281968417015,"GZMK/SCARB1/CLEC7A/TLR4/NOD1/MSR1/PTAFR/CD36/TLR2/CLEC4A/LY96/TLR7/TLR3",13
"GO:0015179","L-amino acid transmembrane transporter activity","16/2055","40/12392",0.4,2.41206812652068,3.98821752726684,0.000354895833010225,0.00734417091168098,0.00734417091168098,"SLC43A2/SLC3A1/SLC7A1/SLC43A1/SLC25A29/SLC7A5/SLC25A12/SLC22A2/CTNS/SLC38A1/SLC15A4/SLC1A3/SLC1A4/SLC36A2/SLC7A9/SLC1A1",16
"GO:0005506","iron ion binding","30/2055","99/12392",0.303030303030303,1.82732433827324,3.68490495506598,0.000489160381659117,0.00992017254004689,0.00992017254004689,"PHYH/TF/TBXAS1/CYP4A22/CYP26B1/SCD/FDX1/RRM2/ALOX5/CYP4F3/SCD5/AGMO/CYP8B1/CYP24A1/EGLN3/FECH/CYP4F2/CYP4F12/KDM3A/CYP51A1/MIOX/PLOD3/P4HTM/CYP27A1/PAH/AOX1/CYP27B1/BBOX1/CYP4A11/CYP39A1",30
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","37/2055","131/12392",0.282442748091603,1.70317787559666,3.60744512038379,0.000537110153783352,0.0106790136458102,0.0106790136458102,"PHYH/HMOX1/TBXAS1/CYP4A22/CYP26B1/SCD/PTGS2/FADS3/FMO4/CYP4F3/P4HB/SCD5/PAM/FMO1/AGMO/CYP8B1/CYP24A1/EGLN3/CYP4F2/CYP4F12/KDM4B/MICAL2/KDM3A/CYP51A1/CTHRC1/PLOD3/PTGS1/P4HTM/KDM2B/CYP27A1/DEGS1/PAH/CYP27B1/BBOX1/CYP4A11/PHYHD1/CYP39A1",37
"GO:0030246","carbohydrate binding","45/2055","169/12392",0.266272189349112,1.60566665226968,3.53467869437614,0.000598376764268243,0.0116683469032307,0.0116683469032307,"PHYH/FAM3B/SORD/COLEC11/CLEC7A/GPCPD1/ALDOA/CEMIP2/PTN/PYGL/HK2/PPP1R3G/PAM/EPM2A/GPI/GALNT11/ALDOB/GALNT1/PPP1R3C/SLC2A8/CLEC18C/KHK/GANAB/HK1/CLEC14A/LGALS3/HEXB/CLEC2B/EGLN3/ITLN1/GALNT3/AMBP/GALK1/LOXL2/PPP1R3B/FBP1/CD34/CLEC4A/PLOD3/GALM/P4HTM/LMAN2/CNTN1/CANX/PLA2R1",45
"GO:0015370","solute:sodium symporter activity","16/2055","42/12392",0.380952380952381,2.29720773954351,3.75459010278792,0.000675622425421359,0.0129260592335332,0.0129260592335332,"SLC34A1/SLC12A1/SLC4A9/SLC13A3/SLC4A4/SLC5A12/SLC23A1/SLC13A1/SLC5A3/SLC10A2/SLC6A8/SLC38A1/SLC13A2/SLC12A3/SLC1A3/SLC1A1",16
