"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0150077","regulation of neuroinflammatory response",28,0.621646632296,1.60706437753458,0.0340905843414465,0.223893245540807,0.145562403655099,1116,"tags=36%, list=8%, signal=33%","6352/4345/5788/54209/23208/26471/9572/131450/2896/3606",0.321775918075361
"GO:0002483","antigen processing and presentation of endogenous peptide antigen",13,0.72361140950921,1.60677711222144,0.0335420568624595,0.22202726378101,0.144349250531714,1850,"tags=54%, list=14%, signal=47%","567/3133/3134/6890/51752/6892/3077",0.321775918075361
"GO:0060231","mesenchymal to epithelial transition",12,-0.807162522151398,-1.60650275850204,0.0184524309373876,0.158340713941554,0.102943949301035,1242,"tags=42%, list=9%, signal=38%","5076/6299/7849/7490/2625",0.352487857583619
"GO:0035137","hindlimb morphogenesis",5,-0.948846712373842,-1.60649165380773,0.00542633439439569,0.0809487950160943,0.0526282119278091,12,"tags=20%, list=0%, signal=20%","7021",0.407017918923954
"GO:1904627","response to phorbol 13-acetate 12-myristate",10,-0.827766869891131,-1.6055690772552,0.0286886284235483,0.202713413324361,0.131792505063515,1013,"tags=50%, list=8%, signal=46%","5587/56848/7832/5578/2203",0.352487857583619
"GO:0042537","benzene-containing compound metabolic process",14,-0.767941804817617,-1.60551769942242,0.024692360323029,0.18701752253135,0.121587947146549,1786,"tags=43%, list=13%, signal=37%","64577/30/2946/23498/2053/2947",0.352487857583619
"GO:0045589","regulation of regulatory T cell differentiation",32,0.61161074384401,1.60386107883768,0.0148732439862355,0.136601450236082,0.0888103407992826,3111,"tags=47%, list=23%, signal=36%","5699/5696/5698/5683/64115/11006/604/5682/3659/7040/5688/4192/8651/259307/2175",0.380730400722792
"GO:0052547","regulation of peptidase activity",13,0.721998942407391,1.60319663352892,0.0346920579314617,0.226829718043528,0.147471527776869,2444,"tags=69%, list=18%, signal=57%","1992/5271/2896/10010/27166/64115/7076/7077/374969",0.321775918075361
"GO:0045740","positive regulation of DNA replication",32,0.610974766627691,1.60219332019455,0.0150872438312051,0.137279905943999,0.0892514333538139,1916,"tags=31%, list=14%, signal=27%","1956/1026/81620/11177/6742/1017/8317/253980/5111/7126",0.380730400722792
"GO:0007520","myoblast fusion",67,0.532932764838751,1.6017140080897,0.00493045615786791,0.0760661976271589,0.0494538302697256,3792,"tags=69%, list=28%, signal=50%","6157/6175/6137/6139/6132/6143/6171/1794/3688/928/963/6173/30846/6181/6168/6164/5738/11224/6134/25873/6158/23521/6141/975/11096/80005/6124/6142/6167/6169/6133/9349/6155/6129/51177/6147/6160/6170/6130/8038/9750/4736/6161/6135/6176/6156",0.407017918923954
"GO:0030220","platelet formation",11,0.749807781709727,1.60115624461264,0.0329177072628661,0.219875321921735,0.142950182735786,1814,"tags=36%, list=13%, signal=31%","4208/87/4627/836",0.321775918075361
"GO:0032490","detection of molecule of bacterial origin",9,0.804835166111973,1.60112523271575,0.0197076853619887,0.165016772874315,0.107284335643859,906,"tags=56%, list=7%, signal=52%","54209/7099/7097/23643/949",0.352487857583619
"GO:0045063","T-helper 1 cell differentiation",28,0.61934314185559,1.60110945517442,0.034878797265516,0.227797300363003,0.148100593686458,2784,"tags=39%, list=21%, signal=31%","5699/5696/301/5698/5683/3606/5682/5688/51176/3718/6693",0.321775918075361
"GO:0060326","cell chemotaxis",203,0.451421556214723,1.60099877275454,0.000569737703993041,0.0184006495828082,0.0119630352207324,2183,"tags=32%, list=16%, signal=27%","7422/240/7424/7852/3958/3627/6688/6352/57118/3689/3603/27347/301/4233/4283/23603/56833/3071/9034/51192/3672/718/80310/23765/7114/409/4856/6351/4067/391/9732/7423/728/57007/102/5919/5330/1906/7130/5880/5228/8829/2321/6364/58191/6280/64065/719/196527/1524/1235/7226/6376/811/80270/7412/5025/1843/5155/6223/5142/25865/80024/1130/1435",0.477270815362862
