Gene_ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7105,276.136881104618,-1.38096330636123,0.246595873278099,-5.60010712265183,2.14219385148312e-08,7.46179401465846e-07
8813,223.756883235782,0.198690835915742,0.197092104314383,1.00811159638749,0.31340089116758,0.539459905980667
57147,33.8752488170608,-0.358015293951353,0.418605546727399,-0.855256928032291,0.392408926730384,0.615546932272006
55732,22.8355577938959,0.117806540389983,0.321343126062187,0.366606691836269,0.71391241591092,0.854031427501854
2268,19.7415728706028,-0.0792742057577977,0.517398023538174,-0.153217063365819,0.878227101928798,0.943083599730203
3075,105.963935438407,0.77136376262575,0.415260322937777,1.85754265461411,0.0632339885158285,0.190062036441356
2519,425.314882696419,0.26059796590401,0.260994181636931,0.99848189821537,0.318045737893865,0.543636780029319
2729,116.359951043117,-0.103139519370587,0.254444786267878,-0.405351278300518,0.685219318871027,0.835705420781122
4800,52.4520808897025,0.230554021723201,0.269133206514846,0.856653939916116,0.391636165866969,0.614838607609198
90529,32.7760571359631,-0.516197016454154,0.304828010164209,-1.69340414673862,0.0903785661174977,0.244260622567258
57185,131.528600617848,0.858810150176734,0.279386519311782,3.07391406103722,0.00211270282461262,0.0143113909247465
81887,77.6522462603102,0.28902876283676,0.293289608252369,0.985472225078146,0.324392167940615,0.549353172855009
22875,126.480049759247,-0.353909191900356,0.312636247522365,-1.13201586413949,0.257627764889274,0.476892830501807
6405,79.1716804799439,0.85707723117693,0.40219120804679,2.13101931128544,0.0330875512873327,0.122794362862994
1080,83.8671236293142,-0.00182700246963052,0.510649178112739,-0.00357780360360662,0.99714533183338,0.998673468151596
54467,232.207588357005,0.0865896388437602,0.20336725478171,0.425779651383423,0.670268415769066,0.826698969993803
1595,232.080099359114,-1.16138278215226,0.364204435891705,-3.18882107876797,0.00142854266798901,0.0104339114292076
889,59.2195261763421,0.520884885249205,0.266166249841693,1.95699073627483,0.0503485575080001,0.161959927745657
5893,25.4490866745821,0.366640589544546,0.2891315397277,1.26807538841955,0.204771029675136,0.416090851534138
572,35.0918374923222,-0.0729729924388026,0.312876404892065,-0.233232648093027,0.815580755306001,0.908377721621454
51056,220.686428750855,-0.269942911088248,0.288289111047074,-0.936361800512713,0.349086938748616,0.575894836805626
4267,469.936853638448,0.783229258063507,0.37559626875344,2.08529563049962,0.037042473815787,0.132181724037405
9957,48.0674412614598,0.0773306415395168,0.319785129419707,0.241820630245826,0.808919152631774,0.905071453670183
26,465.852332802708,-1.55236781762419,0.580668603163406,-2.67341442118119,0.00750834308340347,0.039510928096867
23072,53.6615345079643,-1.83384141502454,0.364362886331027,-5.03300825583669,4.82842323838156e-07,1.16869983286682e-05
8379,28.0648729684613,-0.0489608758247445,0.286424934531246,-0.170937896537787,0.864272598052258,0.935048985941829
3927,458.603777609559,0.24684795675806,0.394621743757258,0.625530550870766,0.531622903664706,0.732014922232811
29916,83.0601529794281,0.246806704184052,0.296068686259536,0.833612994680899,0.404499100591686,0.625997480437563
55365,1360.98356032834,0.167521504640308,0.384354057874498,0.435852051534755,0.662944075531973,0.822254359927772
4074,253.141796566703,0.039168414768083,0.331395736226472,0.118192271313098,0.905915313633599,0.955485841093415
90293,38.240179296332,-1.33525219653812,0.26600397676363,-5.01967005449929,5.17603064574047e-07,1.246242887406e-05
56603,34.2332538653715,-2.25645923736291,0.592142409029275,-3.81066987088802,0.000138590741423143,0.00152161546823297
3382,26.6494428971718,-0.247121855975829,0.363895766694909,-0.679100661764543,0.497074083202829,0.704299475312371
79007,15.9214460578438,0.49070865315129,0.478912191008838,1.02463178504102,0.305536960994023,0.531310701950038
57679,87.1401225994373,0.0181264149732967,0.243519863811411,0.0744350571226271,0.940664214613569,0.97154093279212
843,74.9070502806079,0.313901721148337,0.311991802520419,1.00612169490509,0.314357033792245,0.540453610279759
8837,494.118407852889,-0.180210145116773,0.227687791385512,-0.791479174268277,0.428664424215972,0.647906449112335
7035,867.155663532257,-0.574489764244889,0.359809881042299,-1.59664810366159,0.11034416979969,0.28101009210075
55471,347.137063767557,-0.632537879248057,0.390248253147146,-1.62086024510545,0.105047614532823,0.272270719895839
10181,282.362837011081,-0.14038777243708,0.23859091976634,-0.588403668398474,0.556261376044526,0.751151046468576
6542,211.531409882631,0.681127772348052,0.604317848880302,1.12710186139639,0.259699416450952,0.479627882031068
381,88.7014179739265,0.40007074269765,0.268258893721398,1.49136059255186,0.135866848495918,0.321188146950231
