GeneID,GSM1543544,GSM1543545,GSM1543546,GSM1543547
56920,156,251,142,1172
11188,1334,1510,2411,1628
23166,12343,2241,1366,806
80199,834,1584,979,930
6540,7865,11116,20602,11247
3423,2298,491,4031,1035
5646,110,174,0,58
7752,125,71,194,100
920,3412,198,1151,410
10233,1645,2623,590,371
695,328,9,237,53
3077,300,53,1068,275
22955,838,562,2855,628
2534,934,414,1464,1224
3097,725,174,561,381
2326,803,4483,607,6461
6924,650,330,1174,590
11313,3138,3671,1748,1901
1185,356,285,1811,638
9902,3625,416,219,514
654364,455,21,67,43
6534,13,0,4,0
10867,9592,3506,14948,3765
55727,145,139,816,314
9546,845,203,697,320
54903,456,259,707,280
51099,161,170,217,256
3730,209,17,41,22
26993,1549,1292,5541,1280
54799,241,73,447,188
51096,971,745,837,665
54476,1118,368,1735,540
54902,1534,1902,1668,1285
5725,3470,1608,8367,2224
8193,14,5,16,0
9066,2,27,16,121
23395,407,225,624,913
5286,429,308,1769,771
5329,1296,53,252,39
54443,85,7,12,25
58525,951,241,1757,496
23637,679,388,1522,1024
1634,12753,4155,118,7280
54814,872,92,487,79
5536,1145,437,2716,1274
23177,437,366,865,327
8491,349,230,557,672
27033,17,1,52,10
7305,15852,814,2816,712
57146,1008,622,1646,724
2556,1,0,22,2
672,180,24,121,41
2067,5063,2506,1531,1071
933,78,19,137,57
7869,2669,3878,309,3409
51360,705,269,574,377
4007,157,12,453,81
4057,896,260,9,687
2137,587,329,2691,464
9971,917,1862,1203,1000
60481,1220,739,423,1048
240,858,8,1331,51
8284,884,211,1,10
57658,3120,972,4721,2706
55148,383,470,872,246
11183,408,122,2029,416
30845,656,497,3290,1243
5704,2639,1271,1295,1157
23324,1490,907,1936,1006
57709,1,23,148,30
5010,138,250,45,155
51629,5578,5147,2241,4638
9961,11093,6744,7805,6512
51667,2400,1250,1942,1055
5238,1015,291,1959,591
112611,335,209,342,226
1195,2795,1375,1868,1303
55703,147,163,240,290
23357,374,187,1506,419
9604,1699,658,4572,1883
1774,1710,157,2441,904
1663,1456,138,1090,221
